TYPENAME,,4LayeredAssembly,,Assembly,,,,,,
PRESET,,,,,,,,"2Layer0D --> Spread --> Asphalt
1Material --> Aggregates --> Asphalt
0RawMaterial
Asphalt
0Color --> Aggregates --> Asphalt
594D41-Barkwood
0SrfTreatment
Standard
0DimThk
3inT",,
PRESET,,"2Layer0D --> Abstract --> CastInPlaceConcrete
1Material --> Aggregates --> Concrete
0RawMaterial
Concrete (Normal Aggregate)
0Color --> Aggregates --> Concrete
D6D7D8-Natural
0SrfTreatment
Standard
0DimThk
10inT-2Layer0D --> Mass --> RammedEarth
1Material --> Aggregates --> Rammed Earth
0RawMaterial
Rammed Earth
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Standard
0DimThk
60cmT-2Layer0D --> Roll --> Carpet
1Material --> Fabric and Upholstery --> Carpet
0RawMaterial
Carpet (Low Profile)
0Color --> Fabric and Upholstery --> Carpet
E9EAE6-White
0SrfTreatment
Standard
0DimThk
0.5inT",,4LayeredAssembly --> Floor,,4LayeredAssembly-22,,"2Layer0D --> Abstract --> CastInPlaceConcrete
1Material --> Aggregates --> Concrete
0RawMaterial
Concrete (Normal Aggregate)
0Color --> Aggregates --> Concrete
D6D7D8-Natural
0SrfTreatment
Standard
0DimThk
10inT",,
PRESET,,,,,,,,"2Layer0D --> Mass --> RammedEarth
1Material --> Aggregates --> Rammed Earth
0RawMaterial
Rammed Earth
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Standard
0DimThk
60cmT",,
PRESET,,,,,,,,"2Layer0D --> Roll --> Carpet
1Material --> Fabric and Upholstery --> Carpet
0RawMaterial
Carpet (Low Profile)
0Color --> Fabric and Upholstery --> Carpet
E9EAE6-White
0SrfTreatment
Standard
0DimThk
0.5inT",,
PRESET,,"2Layer0D --> Roll --> Cork
1Material --> Fibrous --> Cork
0RawMaterial
Cork
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Standard
0DimThk
0.25inT-2Layer0D --> Membrane --> EPDMRubber
1Material --> Synthetic and Polymer --> Plastic
0RawMaterial
Plastic
0Color --> Abstract
6B6B6B-Gray6
0SrfTreatment
Standard
0DimThk
0.0625inT-2Layer0D --> Roll --> Felt
1Material --> Fabric and Upholstery --> Felt
0RawMaterial
Felt
0Color --> Fabric and Upholstery --> Felt
B9A081-Khaki
0SrfTreatment
Standard
0DimThk
3mmT-2Layer0D --> Sitework --> Grass
1Material --> Fibrous --> Wood Particles
0RawMaterial
Wood Particles
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Standard
0DimThk
8inT",,4LayeredAssembly --> Floor,,4LayeredAssembly-25,,"2Layer0D --> Roll --> Cork
1Material --> Fibrous --> Cork
0RawMaterial
Cork
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Standard
0DimThk
0.25inT",,
PRESET,,,,,,,,"2Layer0D --> Membrane --> EPDMRubber
1Material --> Synthetic and Polymer --> Plastic
0RawMaterial
Plastic
0Color --> Abstract
6B6B6B-Gray6
0SrfTreatment
Standard
0DimThk
0.0625inT",,
PRESET,,,,,,,,"2Layer0D --> Roll --> Felt
1Material --> Fabric and Upholstery --> Felt
0RawMaterial
Felt
0Color --> Fabric and Upholstery --> Felt
B9A081-Khaki
0SrfTreatment
Standard
0DimThk
3mmT",,
PRESET,,,,,,,,"2Layer0D --> Sitework --> Grass
1Material --> Fibrous --> Wood Particles
0RawMaterial
Wood Particles
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Standard
0DimThk
8inT",,
PRESET,,"2Layer0D --> Mass --> PrecastConcrete
1Material --> Aggregates --> Concrete
0RawMaterial
Concrete (Normal Aggregate)
0Color --> Aggregates --> Concrete
D6D7D8-Natural
0SrfTreatment
Standard
0DimThk
3inT-2Layer0D --> Mass --> PrecastConcrete
1Material --> Aggregates --> Concrete
0RawMaterial
Concrete (Normal Aggregate)
0Color --> Aggregates --> Concrete
D6D7D8-Natural
0SrfTreatment
Standard
0DimThk
12inT",,4LayeredAssembly --> Floor,,4LayeredAssembly-29,,"2Layer0D --> Mass --> PrecastConcrete
1Material --> Aggregates --> Concrete
0RawMaterial
Concrete (Normal Aggregate)
0Color --> Aggregates --> Concrete
D6D7D8-Natural
0SrfTreatment
Standard
0DimThk
3inT",,
PRESET,,,,,,,,"2Layer0D --> Mass --> PrecastConcrete
1Material --> Aggregates --> Concrete
0RawMaterial
Concrete (Normal Aggregate)
0Color --> Aggregates --> Concrete
D6D7D8-Natural
0SrfTreatment
Standard
0DimThk
12inT",,
PRESET,,"2Layer0D --> Sitework --> Gravel
1Material --> Aggregates --> Gravel
0RawMaterial
Gravel
0Color --> Aggregates --> Gravel
FFFFFF-White
0SrfTreatment
Standard
0DimThk
2inT-2Layer0D --> Mass --> CrossLaminatedTimber
1Material --> Wood --> Spruce-Pine-Fir
0RawMaterial
Spruce-Pine-Fir
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Unfinished
0DimThk
9.625inT-2Layer0D --> Sitework --> Gravel
1Material --> Aggregates --> Gravel
0RawMaterial
Gravel
0Color --> Aggregates --> Gravel
FFFFFF-White
0SrfTreatment
Standard
0DimThk
1inT-2Layer0D --> Spread --> Paint
1Material --> Spread --> Paint
0RawMaterial
Paint
0Color --> Spread --> Paint
F3F1ED-GentleWhite
0SrfTreatment
BuffPolished
0DimThk
0.02inT",,4LayeredAssembly --> Floor,,4LayeredAssembly-31,,"2Layer0D --> Sitework --> Gravel
1Material --> Aggregates --> Gravel
0RawMaterial
Gravel
0Color --> Aggregates --> Gravel
FFFFFF-White
0SrfTreatment
Standard
0DimThk
2inT",,
PRESET,,,,,,,,"2Layer0D --> Mass --> CrossLaminatedTimber
1Material --> Wood --> Spruce-Pine-Fir
0RawMaterial
Spruce-Pine-Fir
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Unfinished
0DimThk
9.625inT",,
PRESET,,,,,,,,"2Layer0D --> Sitework --> Gravel
1Material --> Aggregates --> Gravel
0RawMaterial
Gravel
0Color --> Aggregates --> Gravel
FFFFFF-White
0SrfTreatment
Standard
0DimThk
1inT",,
PRESET,,,,,,,,"2Layer0D --> Spread --> Paint
1Material --> Spread --> Paint
0RawMaterial
Paint
0Color --> Spread --> Paint
F3F1ED-GentleWhite
0SrfTreatment
BuffPolished
0DimThk
0.02inT",,
PRESET,,"2Layer0D --> Mass --> PrecastConcrete
1Material --> Aggregates --> Concrete
0RawMaterial
Concrete (Normal Aggregate)
0Color --> Aggregates --> Concrete
D6D7D8-Natural
0SrfTreatment
Standard
0DimThk
12inT-2Layer0D --> Roll --> Carpet
1Material --> Fabric and Upholstery --> Carpet
0RawMaterial
Carpet (Low Profile)
0Color --> Fabric and Upholstery --> Carpet
E9EAE6-White
0SrfTreatment
Standard
0DimThk
0.25inT-2Layer0D --> Roll --> Felt
1Material --> Fabric and Upholstery --> Felt
0RawMaterial
Felt
0Color --> Fabric and Upholstery --> Felt
B9A081-Khaki
0SrfTreatment
Standard
0DimThk
2mmT",,4LayeredAssembly --> Roof,,4LayeredAssembly-35,,"2Layer0D --> Mass --> PrecastConcrete
1Material --> Aggregates --> Concrete
0RawMaterial
Concrete (Normal Aggregate)
0Color --> Aggregates --> Concrete
D6D7D8-Natural
0SrfTreatment
Standard
0DimThk
12inT",,
PRESET,,,,,,,,"2Layer0D --> Roll --> Carpet
1Material --> Fabric and Upholstery --> Carpet
0RawMaterial
Carpet (Low Profile)
0Color --> Fabric and Upholstery --> Carpet
E9EAE6-White
0SrfTreatment
Standard
0DimThk
0.25inT",,
PRESET,,,,,,,,"2Layer0D --> Roll --> Felt
1Material --> Fabric and Upholstery --> Felt
0RawMaterial
Felt
0Color --> Fabric and Upholstery --> Felt
B9A081-Khaki
0SrfTreatment
Standard
0DimThk
2mmT",,
