TYPENAME,,Gap2DTemp,,Gap,,,,,,,,,,,,,,,,
PRESET,,45BF18FE-04E2-E341-A323-39680E521E90,,2Gap2D_Grout Gaps-Width-0.375in-Recess-0.125in-0Profile-Flat-Finish1-0RawMaterial-Grout-EAECE7,,2Gap2D_Grout Gaps,,"0.375in x 0in, Grout, White",,Width,0.375in,Major,,0Profile-Flat,,Finish1,0RawMaterial-Grout,,,EAECE7
PRESET,,,,,,,,,,Recess,0.125in,Major,,,,,,,,
PRESET,,,,,,,,,,IconDepth,4in,Preview,,,,,,,,
PRESET,,,,,,,,,,IconLength,8in,Preview,,,,,,,,
PRESET,,FF1BF10E-B5E6-9E4E-8804-83C3D4D59611,,2Gap2D_Grout Gaps-Width-0.375in-Recess-0.25in-0Profile-Flat-Finish1-0RawMaterial-Grout-EAECE7,,2Gap2D_Grout Gaps,,"0.375in x 0.25in, Grout, White",,Width,0.375in,Major,,0Profile-Flat,,Finish1,0RawMaterial-Grout,,,EAECE7
PRESET,,,,,,,,,,Recess,0.25in,Major,,,,,,,,
PRESET,,,,,,,,,,IconDepth,4in,Preview,,,,,,,,
PRESET,,,,,,,,,,IconLength,8in,Preview,,,,,,,,
PRESET,,9FB7FDB9-9716-844E-9B4A-47E35543F006,,2Gap2D_Metal Gaps-Width-0.5625in-Recess-0.25in-0Profile-Flat-Finish1-0RawMaterial-Aluminum-F2F2F2,,2Gap2D_Metal Gaps,,"0.5625in x 0.25in, Aluminum, Pure White",,Width,0.5625in,Major,,0Profile-Flat,,Finish1,0RawMaterial-Aluminum,,,F2F2F2
PRESET,,,,,,,,,,Recess,0.25in,Major,,,,,,,,
PRESET,,,,,,,,,,IconDepth,4in,Preview,,,,,,,,
PRESET,,,,,,,,,,IconLength,8in,Preview,,,,,,,,
