TYPENAME,,0DimWDWtFt,,Dimension,,,,,,,,,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,STRING,,Name,,Dimension.ColloquialName,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,DIMENSION,,Width,,Dimension.Width,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,DIMENSION,,Depth,,Dimension.Depth,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,DIMENSION,,Web Thickness,,Dimension.WebThickness,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,DIMENSION,,Flange Thickness,,Dimension.FlangeThickness,,,,,,,,,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=ID,ID,DataType=TG_MyNode+CategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Dimension.ColloquialName,Dimension.Width,Dimension.Depth,Dimension.WebThickness,Dimension.FlangeThickness,DataType=TG_Parent Node+CategoryPath,TG_ParentNode+CategoryPath,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-38.7W-15.8D-1.07Wt-0.65Ft,,0DimWDWtFt --> WideFlangeSteel,,W40X199,38.7,15.8,1.07,0.65,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-41.6W-12.4D-2.52Wt-1.42Ft,,0DimWDWtFt --> WideFlangeSteel,,W40X392,41.6,12.4,2.52,1.42,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-40.8W-12.2D-2.13Wt-1.22Ft,,0DimWDWtFt --> WideFlangeSteel,,W40X331,40.8,12.2,2.13,1.22,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-40.8W-12.1D-2.13Wt-1.18Ft,,0DimWDWtFt --> WideFlangeSteel,,W40X327,40.8,12.1,2.13,1.18,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-40.4W-12D-1.93Wt-1.06Ft,,0DimWDWtFt --> WideFlangeSteel,,W40X294,40.4,12,1.93,1.06,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-40.2W-12D-1.81Wt-1.03Ft,,0DimWDWtFt --> WideFlangeSteel,,W40X278,40.2,12,1.81,1.03,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-40W-11.9D-1.73Wt-0.96Ft,,0DimWDWtFt --> WideFlangeSteel,,W40X264,40,11.9,1.73,0.96,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-39.7W-11.9D-1.58Wt-0.83Ft,,0DimWDWtFt --> WideFlangeSteel,,W40X235,39.7,11.9,1.58,0.83,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-39.4W-11.8D-1.42Wt-0.75Ft,,0DimWDWtFt --> WideFlangeSteel,,W40X211,39.4,11.8,1.42,0.75,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-39W-11.8D-1.2Wt-0.65Ft,,0DimWDWtFt --> WideFlangeSteel,,W40X183,39,11.8,1.2,0.65,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-38.6W-11.8D-1.03Wt-0.65Ft,,0DimWDWtFt --> WideFlangeSteel,,W40X167,38.6,11.8,1.03,0.65,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-38.2W-11.8D-0.83Wt-0.63Ft,,0DimWDWtFt --> WideFlangeSteel,,W40X149,38.2,11.8,0.83,0.63,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-43.1W-18.6D-4.53Wt-3.02Ft,,0DimWDWtFt --> WideFlangeSteel,,W36X925,43.1,18.6,4.53,3.02,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-43.1W-18.2D-4.53Wt-2.52Ft,,0DimWDWtFt --> WideFlangeSteel,,W36X853,43.1,18.2,4.53,2.52,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-42.6W-18D-4.29Wt-2.38Ft,,0DimWDWtFt --> WideFlangeSteel,,W36X802,42.6,18,4.29,2.38,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-41.8W-17.8D-3.9Wt-2.17Ft,,0DimWDWtFt --> WideFlangeSteel,,W36X723,41.8,17.8,3.9,2.17,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-41.1W-17.6D-3.54Wt-1.97Ft,,0DimWDWtFt --> WideFlangeSteel,,W36X652,41.1,17.6,3.54,1.97,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-39.8W-17.2D-2.91Wt-1.61Ft,,0DimWDWtFt --> WideFlangeSteel,,W36X529,39.8,17.2,2.91,1.61,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-39.3W-17.1D-2.68Wt-1.5Ft,,0DimWDWtFt --> WideFlangeSteel,,W36X487,39.3,17.1,2.68,1.5,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-38.9W-17D-2.44Wt-1.36Ft,,0DimWDWtFt --> WideFlangeSteel,,W36X441,38.9,17,2.44,1.36,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-38.4W-16.8D-2.2Wt-1.22Ft,,0DimWDWtFt --> WideFlangeSteel,,W36X395,38.4,16.8,2.2,1.22,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-38W-16.7D-2.01Wt-1.12Ft,,0DimWDWtFt --> WideFlangeSteel,,W36X361,38,16.7,2.01,1.12,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-37.7W-16.6D-1.85Wt-1.02Ft,,0DimWDWtFt --> WideFlangeSteel,,W36X330,37.7,16.6,1.85,1.02,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-37.3W-16.7D-1.68Wt-0.945Ft,,0DimWDWtFt --> WideFlangeSteel,,W36X302,37.3,16.7,1.68,0.945,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-37.1W-16.6D-1.57Wt-0.885Ft,,0DimWDWtFt --> WideFlangeSteel,,W36X282,37.1,16.6,1.57,0.885,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-36.9W-16.6D-1.44Wt-0.84Ft,,0DimWDWtFt --> WideFlangeSteel,,W36X262,36.9,16.6,1.44,0.84,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-36.7W-16.5D-1.35Wt-0.8Ft,,0DimWDWtFt --> WideFlangeSteel,,W36X247,36.7,16.5,1.35,0.8,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-36.5W-16.5D-1.26Wt-0.76Ft,,0DimWDWtFt --> WideFlangeSteel,,W36X231,36.5,16.5,1.26,0.76,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-37.4W-12.2D-1.73Wt-0.96Ft,,0DimWDWtFt --> WideFlangeSteel,,W36X256,37.4,12.2,1.73,0.96,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-37.1W-12.1D-1.57Wt-0.87Ft,,0DimWDWtFt --> WideFlangeSteel,,W36X232,37.1,12.1,1.57,0.87,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-36.7W-12.2D-1.36Wt-0.83Ft,,0DimWDWtFt --> WideFlangeSteel,,W36X210,36.7,12.2,1.36,0.83,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-36.5W-12.1D-1.26Wt-0.765Ft,,0DimWDWtFt --> WideFlangeSteel,,W36X194,36.5,12.1,1.26,0.765,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-36.3W-12.1D-1.18Wt-0.725Ft,,0DimWDWtFt --> WideFlangeSteel,,W36X182,36.3,12.1,1.18,0.725,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-36.2W-12D-1.1Wt-0.68Ft,,0DimWDWtFt --> WideFlangeSteel,,W36X170,36.2,12,1.1,0.68,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-36W-12D-1.02Wt-0.65Ft,,0DimWDWtFt --> WideFlangeSteel,,W36X160,36,12,1.02,0.65,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-35.9W-12D-0.94Wt-0.625Ft,,0DimWDWtFt --> WideFlangeSteel,,W36X150,35.9,12,0.94,0.625,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-35.6W-12D-0.79Wt-0.6Ft,,0DimWDWtFt --> WideFlangeSteel,,W36X135,35.6,12,0.79,0.6,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-36W-16.2D-2.28Wt-1.26Ft,,0DimWDWtFt --> WideFlangeSteel,,W33X387,36,16.2,2.28,1.26,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-35.6W-16.1D-2.09Wt-1.16Ft,,0DimWDWtFt --> WideFlangeSteel,,W33X354,35.6,16.1,2.09,1.16,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-35.2W-16D-1.89Wt-1.04Ft,,0DimWDWtFt --> WideFlangeSteel,,W33X318,35.2,16,1.89,1.04,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-34.8W-15.9D-1.73Wt-0.96Ft,,0DimWDWtFt --> WideFlangeSteel,,W33X291,34.8,15.9,1.73,0.96,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-34.5W-15.8D-1.57Wt-0.87Ft,,0DimWDWtFt --> WideFlangeSteel,,W33X263,34.5,15.8,1.57,0.87,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-34.2W-15.9D-1.4Wt-0.83Ft,,0DimWDWtFt --> WideFlangeSteel,,W33X241,34.2,15.9,1.4,0.83,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-33.9W-15.8D-1.28Wt-0.775Ft,,0DimWDWtFt --> WideFlangeSteel,,W33X221,33.9,15.8,1.28,0.775,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-33.7W-15.7D-1.15Wt-0.715Ft,,0DimWDWtFt --> WideFlangeSteel,,W33X201,33.7,15.7,1.15,0.715,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-33.8W-11.5D-1.22Wt-0.67Ft,,0DimWDWtFt --> WideFlangeSteel,,W33X169,33.8,11.5,1.22,0.67,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-33.5W-11.6D-1.06Wt-0.635Ft,,0DimWDWtFt --> WideFlangeSteel,,W33X152,33.5,11.6,1.06,0.635,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-33.3W-11.5D-0.96Wt-0.605Ft,,0DimWDWtFt --> WideFlangeSteel,,W33X141,33.3,11.5,0.96,0.605,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-33.1W-11.5D-0.855Wt-0.58Ft,,0DimWDWtFt --> WideFlangeSteel,,W33X130,33.1,11.5,0.855,0.58,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-32.9W-11.5D-0.74Wt-0.55Ft,,0DimWDWtFt --> WideFlangeSteel,,W33X118,32.9,11.5,0.74,0.55,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-33.2W-15.6D-2.44Wt-1.36Ft,,0DimWDWtFt --> WideFlangeSteel,,W30X391,33.2,15.6,2.44,1.36,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-32.8W-15.5D-2.24Wt-1.24Ft,,0DimWDWtFt --> WideFlangeSteel,,W30X357,32.8,15.5,2.24,1.24,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-32.4W-15.4D-2.05Wt-1.14Ft,,0DimWDWtFt --> WideFlangeSteel,,W30X326,32.4,15.4,2.05,1.14,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
