TYPENAME,,PartNonMesh,,Module,,,,,,,,,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Module.Name,,,,,,,,,,,,,,,,,,,,,,
,,InputExtensibility,,InputPreset,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildMaterial,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimension,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimWD,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimLW,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimThk,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimLWH,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildProfile,,,,,,,,,,,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=ID,ID,DataType=TG_MyNode+CategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Module.Name,DataType=Dimensions,Dimension,Value,UI Group,DataType=Profile,Module.Profile,DataType=Material,AppliesToChannel,InnerMaterial,SurfaceMaterial,ColorTintVariation,ColorTint,DataType=InputPins,ChildMaterial,ChildDimension,ChildDimWD,ChildDimLW,ChildDimThk,ChildDimLWH,ChildProfile,DataType=TG_Parent Node+CategoryPath,TG_ParentNode+CategoryPath
,,Assembly_Layer-Thickness-6in-Finish1-0RawMaterial-Concrete (Normal Aggregate)---D6D7D8,,Assembly_Layer,,6in Cast-In-Place Concrete,,Thickness,6in,Major,,,,Finish1,0RawMaterial-Concrete (Normal Aggregate),-,0,D6D7D8,,1Material_Aggregates_Concrete-0RawMaterial-Concrete (Normal Aggregate)-0Color_Aggregates_Concrete-D6D7D8-Natural,,,,0DimThk-6inT,,,,
,,,,,,,,IconLength,64in,Preview,,,,,,,,,,,,,,,,,,
,,,,,,,,IconHeight,48in,Preview,,,,,,,,,,,,,,,,,,
,,Assembly_Layer-Thickness-6in-Finish1-0RawMaterial-Concrete (Normal Aggregate)---D6D7D8,,Assembly_Layer,,6in Precast Concrete,,Thickness,6in,Major,,,,Finish1,0RawMaterial-Concrete (Normal Aggregate),-,0,D6D7D8,,1Material_Aggregates_Concrete-0RawMaterial-Concrete (Normal Aggregate)-0Color_Aggregates_Concrete-D6D7D8-Natural,,,,0DimThk-6inT,,,,
,,,,,,,,IconLength,64in,Preview,,,,,,,,,,,,,,,,,,
,,,,,,,,IconHeight,48in,Preview,,,,,,,,,,,,,,,,,,
,,Assembly_Layer-Thickness-8in-Finish1-0RawMaterial-Concrete (Normal Aggregate)---D6D7D8,,Assembly_Layer,,8in Cast-In-Place Concrete,,Thickness,8in,Major,,,,Finish1,0RawMaterial-Concrete (Normal Aggregate),-,0,D6D7D8,,1Material_Aggregates_Concrete-0RawMaterial-Concrete (Normal Aggregate)-0Color_Aggregates_Concrete-D6D7D8-Natural,,,,0DimThk-8inT,,,,
,,,,,,,,IconLength,64in,Preview,,,,,,,,,,,,,,,,,,
,,,,,,,,IconHeight,48in,Preview,,,,,,,,,,,,,,,,,,
,,Assembly_Layer-Thickness-8in-Finish1-0RawMaterial-Concrete (Normal Aggregate)---D6D7D8,,Assembly_Layer,,8in Precast Concrete,,Thickness,8in,Major,,,,Finish1,0RawMaterial-Concrete (Normal Aggregate),-,0,D6D7D8,,1Material_Aggregates_Concrete-0RawMaterial-Concrete (Normal Aggregate)-0Color_Aggregates_Concrete-D6D7D8-Natural,,,,0DimThk-8inT,,,,
,,,,,,,,IconLength,64in,Preview,,,,,,,,,,,,,,,,,,
,,,,,,,,IconHeight,48in,Preview,,,,,,,,,,,,,,,,,,
,,Assembly_Layer-Thickness-10in-Finish1-0RawMaterial-Concrete (Normal Aggregate)---D6D7D8,,Assembly_Layer,,"10in, Concrete (Normal Aggregate), Natural",,Thickness,10in,Major,,,,Finish1,0RawMaterial-Concrete (Normal Aggregate),-,0,D6D7D8,,1Material_Aggregates_Concrete-0RawMaterial-Concrete (Normal Aggregate)-0Color_Aggregates_Concrete-D6D7D8-Natural,,,,0DimThk-10inT,,,,
,,,,,,,,IconLength,64in,Preview,,,,,,,,,,,,,,,,,,
,,,,,,,,IconHeight,48in,Preview,,,,,,,,,,,,,,,,,,
,,Assembly_Layer-Thickness-12in-Finish1-0RawMaterial-Concrete (Normal Aggregate)---D6D7D8,,Assembly_Layer,,"12in, Concrete (Normal Aggregate), Natural",,Thickness,12in,Major,,,,Finish1,0RawMaterial-Concrete (Normal Aggregate),-,0,D6D7D8,,1Material_Aggregates_Concrete-0RawMaterial-Concrete (Normal Aggregate)-0Color_Aggregates_Concrete-D6D7D8-Natural,,,,0DimThk-12inT,,,,
,,,,,,,,IconLength,64in,Preview,,,,,,,,,,,,,,,,,,
,,,,,,,,IconHeight,48in,Preview,,,,,,,,,,,,,,,,,,
,,Assembly_Layer-Thickness-16in-Finish1-0RawMaterial-Concrete (Normal Aggregate)---D6D7D8,,Assembly_Layer,,"16in, Concrete (Normal Aggregate), Natural",,Thickness,16in,Major,,,,Finish1,0RawMaterial-Concrete (Normal Aggregate),-,0,D6D7D8,,1Material_Aggregates_Concrete-0RawMaterial-Concrete (Normal Aggregate)-0Color_Aggregates_Concrete-D6D7D8-Natural,,,,0DimThk-16inT,,,,
,,,,,,,,IconLength,64in,Preview,,,,,,,,,,,,,,,,,,
,,,,,,,,IconHeight,48in,Preview,,,,,,,,,,,,,,,,,,
