TYPENAME,,1Material,,Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,1Material --> Abstract-0RawMaterial-Abstract-0Color --> Abstract-FFFFFF-White-0SrfTreatment-Standard,,1Material --> Abstract,,1Material --> Abstract-0RawMaterial-Abstract-0Color --> Abstract-FFFFFF-White-0SrfTreatment-Standard,1Material --> Abstract,,0RawMaterial-Abstract,0Color --> Abstract-FFFFFF-White,0SrfTreatment-Standard,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,1Material --> Aggregates --> Asphalt-0RawMaterial-Asphalt-0Color --> Aggregates --> Asphalt-594D41-Barkwood-0SrfTreatment-Standard,,1Material --> Aggregates --> Asphalt,,1Material --> Aggregates --> Asphalt-0RawMaterial-Asphalt-0Color --> Aggregates --> Asphalt-594D41-Barkwood-0SrfTreatment-Standard,1Material --> Aggregates --> Asphalt,,0RawMaterial-Asphalt,0Color --> Aggregates --> Asphalt-594D41-Barkwood,0SrfTreatment-Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,1Material --> Aggregates --> Asphalt-0RawMaterial-Asphalt-0Color --> Aggregates --> Asphalt-52595B-PewterGray-0SrfTreatment-Standard,,1Material --> Aggregates --> Asphalt,,1Material --> Aggregates --> Asphalt-0RawMaterial-Asphalt-0Color --> Aggregates --> Asphalt-52595B-PewterGray-0SrfTreatment-Standard,1Material --> Aggregates --> Asphalt,,0RawMaterial-Asphalt,0Color --> Aggregates --> Asphalt-52595B-PewterGray,0SrfTreatment-Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,1Material --> Aggregates --> Asphalt-0RawMaterial-Asphalt-0Color --> Aggregates --> Asphalt-646963-Gray-GreenSlate-0SrfTreatment-Standard,,1Material --> Aggregates --> Asphalt,,1Material --> Aggregates --> Asphalt-0RawMaterial-Asphalt-0Color --> Aggregates --> Asphalt-646963-Gray-GreenSlate-0SrfTreatment-Standard,1Material --> Aggregates --> Asphalt,,0RawMaterial-Asphalt,0Color --> Aggregates --> Asphalt-646963-Gray-GreenSlate,0SrfTreatment-Standard,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,1Material --> Aggregates --> Asphalt-0RawMaterial-Asphalt-0Color --> Aggregates --> Asphalt-743131-RichRed-0SrfTreatment-Standard,,1Material --> Aggregates --> Asphalt,,1Material --> Aggregates --> Asphalt-0RawMaterial-Asphalt-0Color --> Aggregates --> Asphalt-743131-RichRed-0SrfTreatment-Standard,1Material --> Aggregates --> Asphalt,,0RawMaterial-Asphalt,0Color --> Aggregates --> Asphalt-743131-RichRed,0SrfTreatment-Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,1Material --> Aggregates --> Asphalt-0RawMaterial-Asphalt-0Color --> Aggregates --> Asphalt-2F3336-Charcoal-0SrfTreatment-Standard,,1Material --> Aggregates --> Asphalt,,1Material --> Aggregates --> Asphalt-0RawMaterial-Asphalt-0Color --> Aggregates --> Asphalt-2F3336-Charcoal-0SrfTreatment-Standard,1Material --> Aggregates --> Asphalt,,0RawMaterial-Asphalt,0Color --> Aggregates --> Asphalt-2F3336-Charcoal,0SrfTreatment-Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,1Material --> Aggregates --> Asphalt-0RawMaterial-Asphalt-0Color --> Aggregates --> Asphalt-9A7957-Caramel-0SrfTreatment-Standard,,1Material --> Aggregates --> Asphalt,,1Material --> Aggregates --> Asphalt-0RawMaterial-Asphalt-0Color --> Aggregates --> Asphalt-9A7957-Caramel-0SrfTreatment-Standard,1Material --> Aggregates --> Asphalt,,0RawMaterial-Asphalt,0Color --> Aggregates --> Asphalt-9A7957-Caramel,0SrfTreatment-Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,1Material --> Aggregates --> Asphalt-0RawMaterial-Asphalt-0Color --> Aggregates --> Asphalt-6B6758-Olive-0SrfTreatment-Standard,,1Material --> Aggregates --> Asphalt,,1Material --> Aggregates --> Asphalt-0RawMaterial-Asphalt-0Color --> Aggregates --> Asphalt-6B6758-Olive-0SrfTreatment-Standard,1Material --> Aggregates --> Asphalt,,0RawMaterial-Asphalt,0Color --> Aggregates --> Asphalt-6B6758-Olive,0SrfTreatment-Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,1Material --> Aggregates --> Asphalt-0RawMaterial-Asphalt-0Color --> Aggregates --> Asphalt-856B5B-Driftwood-0SrfTreatment-Standard,,1Material --> Aggregates --> Asphalt,,1Material --> Aggregates --> Asphalt-0RawMaterial-Asphalt-0Color --> Aggregates --> Asphalt-856B5B-Driftwood-0SrfTreatment-Standard,1Material --> Aggregates --> Asphalt,,0RawMaterial-Asphalt,0Color --> Aggregates --> Asphalt-856B5B-Driftwood,0SrfTreatment-Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,1Material --> Aggregates --> Cement-0RawMaterial-Cement-0Color --> Aggregates --> Cement-FFFFFF-White-0SrfTreatment-Standard,,1Material --> Aggregates --> Cement,,1Material --> Aggregates --> Cement-0RawMaterial-Cement-0Color --> Aggregates --> Cement-FFFFFF-White-0SrfTreatment-Standard,1Material --> Aggregates --> Cement,,0RawMaterial-Cement,0Color --> Aggregates --> Cement-FFFFFF-White,0SrfTreatment-Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
