TYPENAME,,0DimThk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
0.3125inT",,5/16in,0.3125in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
0.34375inT",,11/32in,0.34375in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
0.375inT",,3/8in,0.375in,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,X,,,,,,X,X,,,,X,,X,X,,X,X,,X,X,X,,X,X,X,X,X,X,X,X,X,X
PRESET,,0DimThk,,"0DimThk
0.4375inT",,7/16in,0.4375in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
0.46875inT",,15/32in,0.46875in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
0.5inT",,1/2in,0.5in,,,,,,,,,,,,,X,X,X,,X,,,,,X,,X,X,,,X,X,,,,,,X,X,X,X,X,X,X,,X,,X,X,X,,X,X,,,,,X,X,,,,,
PRESET,,0DimThk,,"0DimThk
0.625inT",,5/8in,0.625in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,X,,,X,,,,X,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
0.6875inT",,11/16in,0.6875in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
0.71875inT",,23/32in,0.71875in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
0.75inT",,3/4in,0.75in,,,,,,,,,,,,,X,X,,,,,,,,X,,X,X,,,,X,,,,,X,X,X,X,X,,X,X,,X,,X,X,X,X,,,,,,,,,X,X,X,X,X
PRESET,,0DimThk,,"0DimThk
0.875inT",,7/8in,0.875in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
1inT",,1in,1in,,,,,,,,,,,,,X,X,,,,,,,,X,X,X,X,X,X,X,,,,,,X,,,X,X,X,X,X,,X,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
1.125inT",,1-1/8in,1.125in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
1.25inT",,1-1/4in,1.25in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
