TYPENAME,,Part_ExtrudedProfile,,Assembly,,,,,,,,,,
PRESET,,"Part_ExtrudedProfile_BeamColumn_SteelWT
1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted
0DimWDWtFt_TSteel-12.9inW-11.8inD-0.505inWt-0.395inFt
0Profile-Tee, WT",,Part_ExtrudedProfile_BeamColumn_SteelWT,,"WT12X27.5, Steel, Untinted",48in,"(""IconLength"",48)",,X,,1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted,0DimWDWtFt_TSteel-12.9inW-11.8inD-0.505inWt-0.395inFt,"0Profile-Tee, WT"
PRESET,,"Part_ExtrudedProfile_BeamColumn_StoneRectangular
1Material_Stone_Basalt-0RawMaterial-Basalt-0Color_Abstract-FFFFFF-White
0DimWD-12inW-12inD
0Profile-Plate Section",,Part_ExtrudedProfile_BeamColumn_StoneRectangular,,"12in x 12in, Basalt, White",48in,"(""IconLength"",48)",,X,,1Material_Stone_Basalt-0RawMaterial-Basalt-0Color_Abstract-FFFFFF-White,0DimWD-12inW-12inD,0Profile-Plate Section
PRESET,,"Part_ExtrudedProfile_BeamColumn_StoneRound
1Material_Stone_Granite-0RawMaterial-Granite (Black 1)-0Color_Abstract-FFFFFF-White
0DimDi-12in
0Profile-Tube Steel",,Part_ExtrudedProfile_BeamColumn_StoneRound,,"12in, Granite (Black 1), White",48in,"(""IconLength"",48)",,X,,1Material_Stone_Granite-0RawMaterial-Granite (Black 1)-0Color_Abstract-FFFFFF-White,0DimDi-12in,0Profile-Tube Steel
PRESET,,"Part_ExtrudedProfile_BeamColumn_WoodRectangular
1Material_Wood_Oak - White-0RawMaterial-Oak (White)-0Color_Wood_Oak - White-FFFFFF-Natural
0DimWD-8inW-8inD
0Profile-Plate Section",,Part_ExtrudedProfile_BeamColumn_WoodRectangular,,"8in x 8in, Oak (White), Natural",48in,"(""IconLength"",48)",,X,,1Material_Wood_Oak - White-0RawMaterial-Oak (White)-0Color_Wood_Oak - White-FFFFFF-Natural,0DimWD-8inW-8inD,0Profile-Plate Section
PRESET,,"Part_ExtrudedProfile_BeamColumn_WoodRound
1Material_Wood_Cedar - White-0RawMaterial-Cedar (White)-0Color_Wood_Cedar - White-FFFFFF-Natural
0DimDi-8in
0Profile-Tube Steel",,Part_ExtrudedProfile_BeamColumn_WoodRound,,"8in, Cedar (White), Natural",48in,"(""IconLength"",48)",,X,,1Material_Wood_Cedar - White-0RawMaterial-Cedar (White)-0Color_Wood_Cedar - White-FFFFFF-Natural,0DimDi-8in,0Profile-Tube Steel
PRESET,,"Part_ExtrudedProfile_BeamColumn_WoodRound
1Material_Wood_Oak - Red-0RawMaterial-Oak (Red)-0Color_Wood_Oak - Red-FFFFFF-Natural
0DimDi-12in
0Profile-Tube Steel",,Part_ExtrudedProfile_BeamColumn_WoodRound,,"12in, Oak (Red), Natural",48in,"(""Diameter"",12),""IconLength"",48)",,X,,1Material_Wood_Oak - Red-0RawMaterial-Oak (Red)-0Color_Wood_Oak - Red-FFFFFF-Natural,0DimDi-12in,0Profile-Tube Steel
PRESET,,"Part_ExtrudedProfile_Mullion
1Material_Metal_Aluminum-0RawMaterial-Aluminum-0Color_Metal_Aluminum-FFFFFF-PureWhite
0DimWD-2inW-3inD
0Profile-Rectangular Mullion",,Part_ExtrudedProfile_Mullion,,"2in x 3in, Aluminum, Pure White",48in,"(""IconLength"",48)",,X,,1Material_Metal_Aluminum-0RawMaterial-Aluminum-0Color_Metal_Aluminum-FFFFFF-PureWhite,0DimWD-2inW-3inD,0Profile-Rectangular Mullion
PRESET,,"Part_ExtrudedProfile_Mullion
1Material_Metal_Aluminum-0RawMaterial-Aluminum-0Color_Metal_Aluminum-EBECF0-LightGray
0DimWD-2inW-4inD
0Profile-Rectangular Mullion",,Part_ExtrudedProfile_Mullion,,"2in x 4in, Aluminum, Light Gray",48in,"(""IconLength"",48)",,X,,1Material_Metal_Aluminum-0RawMaterial-Aluminum-0Color_Metal_Aluminum-EBECF0-LightGray,0DimWD-2inW-4inD,0Profile-Rectangular Mullion
PRESET,,"Part_ExtrudedProfile_Mullion
1Material_Metal_Aluminum-0RawMaterial-Aluminum-0Color_Metal_Aluminum-C4B99D-Sandstone
0DimWD-2inW-6inD
0Profile-Rectangular Mullion",,Part_ExtrudedProfile_Mullion,,"2in x 6in, Aluminum, Sandstone",48in,"(""IconLength"",48)",,X,,1Material_Metal_Aluminum-0RawMaterial-Aluminum-0Color_Metal_Aluminum-C4B99D-Sandstone,0DimWD-2inW-6inD,0Profile-Rectangular Mullion
PRESET,,"Part_ExtrudedProfile_Stringer
1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted
0DimWDT_HSS-7inW-7inD-0.233inT
0Profile-Hollow Structural Section, HSS",,Part_ExtrudedProfile_Stringer,,Stringer,48in,"(""IconLength"",48)",,X,,1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted,0DimWDT_HSS-7inW-7inD-0.233inT,"0Profile-Hollow Structural Section, HSS"
