TYPENAME,,2ModuleLWT,,Module,,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Module.Name,,,,,,,,,,,,,,,
PROPERTY,,Dimension,,Length,,Module.Length,,,,,,,,,,,,,,,
PROPERTY,,Dimension,,Width,,Module.Width,,,,,,,,,,,,,,,
PROPERTY,,Dimension,,Thickness,,Module.Thickness,,,,,,,,,,,,,,,
PROPERTY,,Dimension,,Bevel Width,,Module.BevelWidth,,,,,,,,,,,,,,,
PROPERTY,,PresetID,,Inner Material,,Module.InnerMaterial,,,,,,,,,,,,,,,
PROPERTY,,PresetID,,Surface Material,,Module.SurfaceMaterial,,,,,,,,,,,,,,,
PROPERTY,,HexValue,,Color Tint,,Module.ColorTint,,,,,,,,,,,,,,,
,,InputExtensibility,,InputPreset,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildMaterial,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimLW,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimThk,,,,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=ID,ID,DataType=TG_MyNode+CategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Module.Name,Module.Length,Module.Width,Module.Thickness,Module.BevelWidth,Module.InnerMaterial,Module.SurfaceMaterial,Module.ColorTint,DataType=InputPins,ChildMaterial,ChildDimLW,ChildDimThk,DataType=TG_MyNode+CategoryPath,TG_ParentNode+CategoryPath,,
PRESET,,"Board/Panel --> Fiber Cement
1Material --> Aggregates --> Fiber-Cement-0RawMaterial-Fibre Cement-0Color --> Aggregates --> Fiber-Cement-DFE2E7-CoolLightGrey
0DimLW-120in-6in
0DimThk-0.75inT",,Board/Panel --> Fiber Cement,,"6in x 120in, 3/4in, Fiber Cement, Fibre Cement, Cool Light Grey",120in,6in,0.75in,.5in,0RawMaterial-Fibre Cement,-,DFE2E7,,1Material --> Aggregates --> Fiber-Cement-0RawMaterial-Fibre Cement-0Color --> Aggregates --> Fiber-Cement-DFE2E7-CoolLightGrey,0DimLW-120in-6in,0DimThk-0.75inT,,3Layer2D,,
PRESET,,"Board/Panel --> Gypsum
1Material --> Aggregates --> Gypsum-0RawMaterial-Gypsum (Type X)-0Color --> Aggregates --> Gypsum-D6D7D1-Natural
0DimLW-96in-48in
0DimThk-0.5inT",,Board/Panel --> Gypsum,,"48in x 96in, 1/2in, Gypsum, Gypsum (Type X), Natural",96in,48in,0.5in,0.125in,0RawMaterial-Gypsum (Type X),-,D6D7D1,,1Material --> Aggregates --> Gypsum-0RawMaterial-Gypsum (Type X)-0Color --> Aggregates --> Gypsum-D6D7D1-Natural,0DimLW-96in-48in,0DimThk-0.5inT,,3Layer2D,,
PRESET,,"Board/Panel --> Gypsum
1Material --> Aggregates --> Gypsum-0RawMaterial-Gypsum (Type X)-0Color --> Aggregates --> Gypsum-D6D7D1-Natural
0DimLW-96in-48in
0DimThk-0.625inT",,Board/Panel --> Gypsum,,"48in x 96in, 5/8in, Gypsum, Gypsum (Type X), Natural",96in,48in,0.625in,0.125in,0RawMaterial-Gypsum (Type X),-,D6D7D1,,1Material --> Aggregates --> Gypsum-0RawMaterial-Gypsum (Type X)-0Color --> Aggregates --> Gypsum-D6D7D1-Natural,0DimLW-96in-48in,0DimThk-0.625inT,,3Layer2D,,
PRESET,,"Board/Panel --> MDF (Medium-Density Fiberboard)
1Material --> Fibrous --> Wood Particles-0RawMaterial-Wood Particles-0Color --> Abstract-FFFFFF-White
0DimLW-96in-48in
0DimThk-0.5inT",,Board/Panel --> MDF (Medium-Density Fiberboard),,"48in x 96in, 1/2in, MDF (Medium-Density Fiberboard), Wood Particles, White",96in,48in,0.5in,0.125in,0RawMaterial-Wood Particles,-,FFFFFF,,1Material --> Fibrous --> Wood Particles-0RawMaterial-Wood Particles-0Color --> Abstract-FFFFFF-White,0DimLW-96in-48in,0DimThk-0.5inT,,3Layer2D,,
PRESET,,"Board/Panel --> Metal
1Material --> Metal --> Aluminum-0RawMaterial-Aluminum-0Color --> Metal --> Aluminum-FFFFFF-PureWhite
0DimLW-12in-12in
0DimThk-0.25inT",,Board/Panel --> Metal,,"12in x 12in, 1/4in, Metal, Aluminum, Pure White",12in,12in,0.25in,0.125in,0RawMaterial-Aluminum,-,FFFFFF,,1Material --> Metal --> Aluminum-0RawMaterial-Aluminum-0Color --> Metal --> Aluminum-FFFFFF-PureWhite,0DimLW-12in-12in,0DimThk-0.25inT,,3Layer2D,,
PRESET,,"Board/Panel --> Metal
1Material --> Metal --> Aluminum-0RawMaterial-Aluminum-0Color --> Metal --> Aluminum-AAAB8C-GreenGray
0DimLW-16in-12in
0DimThk-0.5inT",,Board/Panel --> Metal,,"12in x 16in, 1/2in, Metal, Aluminum, Green Gray",16in,12in,0.5in,0.125in,0RawMaterial-Aluminum,-,D0C0A9,,1Material --> Metal --> Aluminum-0RawMaterial-Aluminum-0Color --> Metal --> Aluminum-AAAB8C-GreenGray,0DimLW-16in-12in,0DimThk-0.5inT,,3Layer2D,,
PRESET,,"Board/Panel --> Metal
1Material --> Metal --> Zinc-0RawMaterial-Zinc-0Color --> Metal --> Zinc-37383A-CoolDarkGrey
0DimLW-180in-36in
0DimThk-1inT",,Board/Panel --> Metal,,"36in x 180in, 1in, Metal, Zinc, Cool Dark Grey",180in,36in,1in,0.125in,0RawMaterial-Zinc,-,013119,,1Material --> Metal --> Zinc-0RawMaterial-Zinc-0Color --> Metal --> Zinc-37383A-CoolDarkGrey,0DimLW-180in-36in,0DimThk-1inT,,3Layer2D,,
PRESET,,"Board/Panel --> OSB (Oriented Strand Board)
1Material --> Fibrous --> Wood Strands-0RawMaterial-Wood Strands-0Color --> Abstract-FFFFFF-White
0DimLW-96in-48in
0DimThk-0.375inT",,Board/Panel --> OSB (Oriented Strand Board),,"48in x 96in, 3/8in, OSB (Oriented Strand Board), Wood Strands, White",96in,48in,0.375in,0.125in,0RawMaterial-Wood Strands,-,FFFFFF,,1Material --> Fibrous --> Wood Strands-0RawMaterial-Wood Strands-0Color --> Abstract-FFFFFF-White,0DimLW-96in-48in,0DimThk-0.375inT,,3Layer2D,,
PRESET,,"Board/Panel --> Particle Board
1Material --> Fibrous --> Wood Particles-0RawMaterial-Wood Particles-0Color --> Abstract-FFFFFF-White
0DimLW-96in-48in
0DimThk-0.375inT",,Board/Panel --> Particle Board,,"48in x 96in, 3/8in, Particle Board, Wood Particles, White",96in,48in,0.375in,0.125in,0RawMaterial-Wood Particles,-,FFFFFF,,1Material --> Fibrous --> Wood Particles-0RawMaterial-Wood Particles-0Color --> Abstract-FFFFFF-White,0DimLW-96in-48in,0DimThk-0.375inT,,3Layer2D,,
PRESET,,"Board/Panel --> Plywood
1Material --> Fibrous --> Plywood-0RawMaterial-Plywood-0Color --> Abstract-FFFFFF-White
0DimLW-96in-48in
0DimThk-0.34375inT",,Board/Panel --> Plywood,,"48in x 96in, 11/32in, Plywood, Plywood, White",96in,48in,0.34375in,0.125in,0RawMaterial-Plywood,-,FFFFFF,,1Material --> Fibrous --> Plywood-0RawMaterial-Plywood-0Color --> Abstract-FFFFFF-White,0DimLW-96in-48in,0DimThk-0.34375inT,,3Layer2D,,
PRESET,,"Board/Panel --> Plywood
1Material --> Fibrous --> Plywood-0RawMaterial-Plywood-0Color --> Abstract-FFFFFF-White
0DimLW-96in-48in
0DimThk-0.46875inT",,Board/Panel --> Plywood,,"48in x 96in, 15/32in, Plywood, Plywood, White",96in,48in,0.46875in,0.125in,0RawMaterial-Plywood,-,FFFFFF,,1Material --> Fibrous --> Plywood-0RawMaterial-Plywood-0Color --> Abstract-FFFFFF-White,0DimLW-96in-48in,0DimThk-0.46875inT,,3Layer2D,,
PRESET,,"Plank --> Engineered Wood
1Material --> Wood --> Ash-0RawMaterial-Ash-0Color --> Wood --> Ash-FFFFFF-Natural
0DimLW-32in-5in
0DimThk-0.375inT",,Plank --> Engineered Wood,,"5in x 32in, 3/8in, Engineered Wood, Ash, Natural",32in,5in,0.375in,0.125in,0RawMaterial-Plywood,0RawMaterial-Ash,FFFFFF,,1Material --> Wood --> Ash-0RawMaterial-Ash-0Color --> Wood --> Ash-FFFFFF-Natural,0DimLW-32in-5in,0DimThk-0.375inT,,3Layer2D,,
PRESET,,"Plank --> Wood
1Material --> Wood --> Ash-0RawMaterial-Ash-0Color --> Wood --> Ash-FFFFFF-Natural
0DimLW-32in-5in
0DimThk-0.375inT",,Plank --> Wood,,"5in x 32in, 3/8in, Wood, Ash, Natural",32in,5in,0.375in,0.125in,0RawMaterial-Ash,-,FFFFFF,,1Material --> Wood --> Ash-0RawMaterial-Ash-0Color --> Wood --> Ash-FFFFFF-Natural,0DimLW-32in-5in,0DimThk-0.375inT,,3Layer2D,,
