TYPENAME,,0HatchPattern,,HatchPattern,,,,,,,
,,Definition,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,
PROPERTY,,DisplayText,,Name,,HatchPattern.Name,,,,,
PROPERTY,,AssetPath,,,,HatchPattern.AssetPath,,,,,
PROPERTY,,Number,,,,HatchPattern.TextureTilingSize,,,,,
PROPERTY,,Number,,,,HatchPattern.TextureTilingType,,,,,
,,Presets,,,,,,,,,
TAGPATHS,DataType=GUID,GUID,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,HatchPattern.Name,HatchPattern.AssetPath,HatchPattern.TextureTilingSize,HatchPattern.TextureTilingType
PRESET,,3CDE379F-B12A-C74A-ADBA-EFD041226DD8,,Property_Materiality_HatchPattern-Game/ShoppingData/HatchPatterns/Hatch_Steel_01-1,,Property_Materiality_HatchPattern,,Steel,Game/ShoppingData/HatchPatterns/Hatch_Steel_01,1,2D
PRESET,,AB084616-47DE-5848-A113-2D04E2F127D6,,Property_Materiality_HatchPattern-Game/ShoppingData/HatchPatterns/Hatch_Stone_01-1,,Property_Materiality_HatchPattern,,Stone,Game/ShoppingData/HatchPatterns/Hatch_Stone_01,1,2D
PRESET,,ACF52D3C-4791-5B42-A27B-8EC05D06A5C2,,Property_Materiality_HatchPattern-Game/ShoppingData/HatchPatterns/Hatch_Wood_01-1,,Property_Materiality_HatchPattern,,Wood 01,Game/ShoppingData/HatchPatterns/Hatch_Wood_01,1,2D
PRESET,,4B06B55A-7BE3-A749-86C4-E9AF819A87B7,,Property_Materiality_HatchPattern-Game/ShoppingData/HatchPatterns/Hatch_Wood_02-1,,Property_Materiality_HatchPattern,,Wood 02,Game/ShoppingData/HatchPatterns/Hatch_Wood_02,1,2D
,,2778B3AB-AB49-BD47-A17A-6B7AAC480B8B,,Property_Materiality_HatchPattern-Game/ShoppingData/HatchPatterns/Hatch_WoodBlocking_01-1,,Property_Materiality_HatchPattern,,Wood Blocking,Game/ShoppingData/HatchPatterns/Hatch_WoodBlocking_01,1,0D
,,FC1BA7E6-2354-B345-9E2C-0127D4E5F94F,,Property_Materiality_HatchPattern-Game/ShoppingData/HatchPatterns/Hatch_WoodFraming_01-1,,Property_Materiality_HatchPattern,,Wood Framing,Game/ShoppingData/HatchPatterns/Hatch_WoodFraming_01,1,0D
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
