TYPENAME,,AssemblyTemp,,Assembly,,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Assembly.Name,,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=GUID,GUID,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Assembly.Name,DataType=StartsInProject,x,DataType=Dimensions,Dimension,Value,DataType=Profile,Module.Profile,DataType=Material,AppliesToChannel,InnerMaterial,SurfaceMaterial,ColorTintVariation,ColorTint
PRESET,,ED701750-B149-4647-AE92-DAAF59A70FC6,,"Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Steel W-Width-11.2in-Depth-19.5in-WebThickness-1.32in-FlangeThickness-0.73in-0Profile-Wide Flange, W-Finish1-0RawMaterial-Steel-FFFFFF",,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Steel W,,"W18X143, Steel, Untinted",,X,,Width,11.2in,,"0Profile-Wide Flange, W",,Finish1,0RawMaterial-Steel,,0,FFFFFF
PRESET,,,,,,,,,,,,Depth,19.5in,,,,,,,,
PRESET,,,,,,,,,,,,WebThickness,1.32in,,,,,,,,
PRESET,,,,,,,,,,,,FlangeThickness,0.73in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,EC3A7547-012C-CE43-AA90-4500C2CF9C7B,,"Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Steel WT-Width-12.9in-Depth-11.8in-WebThickness-0.505in-FlangeThickness-0.395in-0Profile-Tee, WT-Finish1-0RawMaterial-Steel-FFFFFF",,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Steel WT,,"WT12X27.5, Steel, Untinted",,X,,Width,12.9in,,"0Profile-Tee, WT",,Finish1,0RawMaterial-Steel,,0,FFFFFF
PRESET,,,,,,,,,,,,Depth,11.8in,,,,,,,,
PRESET,,,,,,,,,,,,WebThickness,0.505in,,,,,,,,
PRESET,,,,,,,,,,,,FlangeThickness,0.395in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,8E69278C-33B2-B24F-BBF2-42BF2ED3B8EF,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Stone Rectangular-Width-12in-Depth-12in-0Profile-Plate Section-Finish1-0RawMaterial-Basalt-FFFFFF,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Stone Rectangular,,"12in x 12in, Basalt, White",,X,,Width,12in,,0Profile-Plate Section,,Finish1,0RawMaterial-Basalt,,0.05,FFFFFF
PRESET,,,,,,,,,,,,Depth,12in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,9C13A8F8-2D63-BE47-9E4B-D13CA3DA2CBE,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Stone Round-Diameter-12in-0Profile-Tube Steel-Finish1-0RawMaterial-Granite (Grey 1)-FFFFFF,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Stone Round,,"12in, Granite (Black 1), White",,X,,Diameter,12in,,0Profile-Tube Steel,,Finish1,0RawMaterial-Granite (Grey 1),,0.05,FFFFFF
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
