TYPENAME,,Assembly_Layer,,Layer,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Layer.Name,,,,,,,,,,,,,,,,,,,,,,,,,
,,InputExtensibility,,InputPreset,,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildLayerPattern,,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..,,ChildModuleArray,,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..,,ChildGapArray,,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildGapMaterial,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=ID,ID,DataType=TG_MyNode+CategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Layer.Name,DataType=Dimensions,Dimension,Value,UI Group,DataType=InputPins,ChildLayerPattern,ChildModuleArray,ChildGapArray,ChildGapMaterial,,DataType=TG_Parent Node+CategoryPath,x,DataType=FinalPartTransformAtSlot,LocationX,LocationY,LocationZ,SizeX,SizeY,SizeZ,RotationX,RotationY,RotationZ,FlipX,FlipY,FlipZ
PRESET,,"Assembly_Layer
Part_ModuleLinear_Wood Web Joist-Width-3.5in-Depth-11.875in-0Profile-Solid Rectangle-Finish1-0RawMaterial-Spruce-Pine-Fir---FFFFFF
1Material_Synthetic and Polymer_Foam - Extruded Polystyrene-0RawMaterial-Foam (Extruded Polystyrene)-0Color_Synthetic and Polymer_Foam - Extruded Polystyrene-ECB9BE-Pink
0LayerPattern_1D-24-Inch O.C.",,Assembly_Layer,,#N/A,,IconLength,64in,Preview,,0LayerPattern_1D-24-Inch O.C.,Part_ModuleLinear_Wood Web Joist-Width-3.5in-Depth-11.875in-0Profile-Solid Rectangle-Finish1-0RawMaterial-Spruce-Pine-Fir---FFFFFF,,1Material_Synthetic and Polymer_Foam - Extruded Polystyrene-0RawMaterial-Foam (Extruded Polystyrene)-0Color_Synthetic and Polymer_Foam - Extruded Polystyrene-ECB9BE-Pink,,,,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,,,,,,,IconHeight,48in,Preview,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,"Assembly_Layer
Part_ModuleLinear_Wood-Chord, Steel-Web Joist-Width-3.5in-Depth-11.875in-0Profile-Solid Rectangle-Finish1-0RawMaterial-Spruce-Pine-Fir---FFFFFF
1Material_Synthetic and Polymer_Foam - Extruded Polystyrene-0RawMaterial-Foam (Extruded Polystyrene)-0Color_Synthetic and Polymer_Foam - Extruded Polystyrene-ECB9BE-Pink
0LayerPattern_1D-24-Inch O.C.",,Assembly_Layer,,#N/A,,IconLength,64in,Preview,,0LayerPattern_1D-24-Inch O.C.,"Part_ModuleLinear_Wood-Chord, Steel-Web Joist-Width-3.5in-Depth-11.875in-0Profile-Solid Rectangle-Finish1-0RawMaterial-Spruce-Pine-Fir---FFFFFF",,1Material_Synthetic and Polymer_Foam - Extruded Polystyrene-0RawMaterial-Foam (Extruded Polystyrene)-0Color_Synthetic and Polymer_Foam - Extruded Polystyrene-ECB9BE-Pink,,,,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,,,,,,,IconHeight,48in,Preview,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,"Assembly_Layer
Part_ModuleLinear_Steel C-Channel-Width-1.625in-Depth-1.625in-0Profile-Steel C-Stud-Finish1-0RawMaterial-Steel---FFFFFF
1Material_Glass and Transparent_Air-0RawMaterial-Air-0Color_Glass and Transparent_Air-FFFFFF-Clear
0LayerPattern_1D-24-Inch O.C.",,Assembly_Layer,,#N/A,,IconLength,64in,Preview,,0LayerPattern_1D-24-Inch O.C.,Part_ModuleLinear_Steel C-Channel-Width-1.625in-Depth-1.625in-0Profile-Steel C-Stud-Finish1-0RawMaterial-Steel---FFFFFF,,1Material_Glass and Transparent_Air-0RawMaterial-Air-0Color_Glass and Transparent_Air-FFFFFF-Clear,,,,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,,,,,,,IconHeight,48in,Preview,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,"Assembly_Layer
Part_ModuleLinear_Steel C-Channel-Width-1.625in-Depth-2in-0Profile-Steel C-Stud-Finish1-0RawMaterial-Steel---FFFFFF
1Material_Synthetic and Polymer_Foam - Extruded Polystyrene-0RawMaterial-Foam (Extruded Polystyrene)-0Color_Synthetic and Polymer_Foam - Extruded Polystyrene-ECB9BE-Pink
0LayerPattern_1D-24-Inch O.C.",,Assembly_Layer,,#N/A,,IconLength,64in,Preview,,0LayerPattern_1D-24-Inch O.C.,Part_ModuleLinear_Steel C-Channel-Width-1.625in-Depth-2in-0Profile-Steel C-Stud-Finish1-0RawMaterial-Steel---FFFFFF,,1Material_Synthetic and Polymer_Foam - Extruded Polystyrene-0RawMaterial-Foam (Extruded Polystyrene)-0Color_Synthetic and Polymer_Foam - Extruded Polystyrene-ECB9BE-Pink,,,,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,,,,,,,IconHeight,48in,Preview,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,"Assembly_Layer
Part_ModuleLinear_Steel C-Channel-Width-1.625in-Depth-3.625in-0Profile-Steel C-Stud-Finish1-0RawMaterial-Steel---FFFFFF
1Material_Synthetic and Polymer_Foam - Extruded Polystyrene-0RawMaterial-Foam (Extruded Polystyrene)-0Color_Synthetic and Polymer_Foam - Extruded Polystyrene-ECB9BE-Pink
0LayerPattern_1D-24-Inch O.C.",,Assembly_Layer,,#N/A,,IconLength,64in,Preview,,0LayerPattern_1D-24-Inch O.C.,Part_ModuleLinear_Steel C-Channel-Width-1.625in-Depth-3.625in-0Profile-Steel C-Stud-Finish1-0RawMaterial-Steel---FFFFFF,,1Material_Synthetic and Polymer_Foam - Extruded Polystyrene-0RawMaterial-Foam (Extruded Polystyrene)-0Color_Synthetic and Polymer_Foam - Extruded Polystyrene-ECB9BE-Pink,,,,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,,,,,,,IconHeight,48in,Preview,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-
