TYPENAME,,0Profile,,Profile,,,,,,
,,Definition,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,
PROPERTY,,DisplayText,,Name,,Profile.Name,,,,
PROPERTY,,PresetID,,,,Profile.AssetID,,,,
PROPERTY,,AssetPath,,,,Profile.AssetPath,,,,
,,Presets,,,,,,,,
TAGPATHS,DataType=GUID,GUID,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Profile.Name,Profile.AssetPath,Profile.AssetID
PRESET,,023ACCEA-5375-274F-8A05-8B1BB063699C,,"0Profile-Plate Mullion, 2in x 2in Box",,0Profile,,"Plate Mullion, 2in x 2in Box",/Game/ShoppingData/Profiles/Mullion-Plate-2x2,"0Profile-Plate Mullion, 2in x 2in Box"
PRESET,,6CE0FCE2-075F-A44D-8928-A41F59F00F34,,"0Profile-Plate Mullion, 2in x 4in Box",,0Profile,,"Plate Mullion, 2in x 4in Box",/Game/ShoppingData/Profiles/Mullion-Plate-2x4,"0Profile-Plate Mullion, 2in x 4in Box"
PRESET,,E0193203-EF14-4E42-8C6C-D927EE281EAC,,"0Profile-Plate Mullion, 2in x 6in Box",,0Profile,,"Plate Mullion, 2in x 6in Box",/Game/ShoppingData/Profiles/Mullion-Plate-2x6,"0Profile-Plate Mullion, 2in x 6in Box"
PRESET,,28D11775-3079-C845-BB18-58023BB86018,,"0Profile-C Shape Mullion, 2in x 2in Box",,0Profile,,"C Shape Mullion, 2in x 2in Box",/Game/ShoppingData/Profiles/Mullion-C-2x2,"0Profile-C Shape Mullion, 2in x 2in Box"
PRESET,,54F99D38-90D1-964B-A271-F1C5730B2471,,"0Profile-C Shape Mullion, 2in x 4in Box",,0Profile,,"C Shape Mullion, 2in x 4in Box",/Game/ShoppingData/Profiles/Mullion-C-2x4,"0Profile-C Shape Mullion, 2in x 4in Box"
PRESET,,1E54F367-5276-334E-BE27-FA151DF5B67A,,"0Profile-C Shape Mullion, 2in x 6in Box",,0Profile,,"C Shape Mullion, 2in x 6in Box",/Game/ShoppingData/Profiles/Mullion-C-2x6,"0Profile-C Shape Mullion, 2in x 6in Box"
PRESET,,C271C471-8FF5-3542-AB78-E8454D7641C5,,"0Profile-Reveal Mullion, 2in x 2in Box",,0Profile,,"Reveal Mullion, 2in x 2in Box",/Game/ShoppingData/Profiles/Mullion-Reveal-2x2,"0Profile-Reveal Mullion, 2in x 2in Box"
PRESET,,CC762DF1-C99C-184D-B5CF-015285CCE491,,"0Profile-Reveal Mullion, 2in x 4in Box",,0Profile,,"Reveal Mullion, 2in x 4in Box",/Game/ShoppingData/Profiles/Mullion-Reveal-2x4,"0Profile-Reveal Mullion, 2in x 4in Box"
PRESET,,BCDAF18A-7655-7941-B8A5-FE8A0315D559,,"0Profile-Reveal Mullion, 2in x 6in Box",,0Profile,,"Reveal Mullion, 2in x 6in Box",/Game/ShoppingData/Profiles/Mullion-Reveal-2x6,"0Profile-Reveal Mullion, 2in x 6in Box"
PRESET,,7FC21CE1-2A43-5A4A-891D-F87B6418E6B8,,"0Profile-Fin Mullion, 2in x 2in Box",,0Profile,,"Fin Mullion, 2in x 2in Box",/Game/ShoppingData/Profiles/Mullion-Fin-2x2,"0Profile-Fin Mullion, 2in x 2in Box"
PRESET,,02CE95B4-9641-A44E-96DA-81BBB8C40945,,"0Profile-Fin Mullion, 2in x 4in Box",,0Profile,,"Fin Mullion, 2in x 4in Box",/Game/ShoppingData/Profiles/Mullion-Fin-2x4,"0Profile-Fin Mullion, 2in x 4in Box"
PRESET,,34BF356E-14AD-4B46-9EFB-8BD650D499D4,,"0Profile-Fin Mullion, 2in x 6in Box",,0Profile,,"Fin Mullion, 2in x 6in Box",/Game/ShoppingData/Profiles/Mullion-Fin-2x6,"0Profile-Fin Mullion, 2in x 6in Box"
PRESET,,27EAD0FE-CF32-E048-9D52-1E38B0A72150,,"0Profile-Rounded Mullion, 2in x 2in Box",,0Profile,,"Rounded Mullion, 2in x 2in Box",/Game/ShoppingData/Profiles/Mullion-Rounded-2x2,"0Profile-Rounded Mullion, 2in x 2in Box"
PRESET,,8DC8F7A7-8482-984E-B9E8-EFEA4FB5D116,,"0Profile-Rounded Mullion, 2in x 4in Box",,0Profile,,"Rounded Mullion, 2in x 4in Box",/Game/ShoppingData/Profiles/Mullion-Rounded-2x4,"0Profile-Rounded Mullion, 2in x 4in Box"
PRESET,,916929AD-54C0-6E45-BF99-B6B898D2FAA9,,"0Profile-Rounded Mullion, 2in x 6in Box",,0Profile,,"Rounded Mullion, 2in x 6in Box",/Game/ShoppingData/Profiles/Mullion-Rounded-2x6,"0Profile-Rounded Mullion, 2in x 6in Box"
PRESET,,48D8C9F5-FDD7-F94A-AB11-57C1C682CD51,,"0Profile-Back Frame Mullion, 2in x 2in Box",,0Profile,,"Back Frame Mullion, 2in x 2in Box",/Game/ShoppingData/Profiles/Mullion-BackFrame-2x2,"0Profile-Back Frame Mullion, 2in x 2in Box"
PRESET,,168EA58A-5CE8-A349-B554-88615AC4DEE9,,"0Profile-Back Frame Mullion, 2in x 4in Box",,0Profile,,"Back Frame Mullion, 2in x 4in Box",/Game/ShoppingData/Profiles/Mullion-BackFrame-2x4,"0Profile-Back Frame Mullion, 2in x 4in Box"
PRESET,,DE863F1F-8BCF-1B44-ABB3-2762F9385210,,"0Profile-Back Frame Mullion, 2in x 6in Box",,0Profile,,"Back Frame Mullion, 2in x 6in Box",/Game/ShoppingData/Profiles/Mullion-BackFrame-2x6,"0Profile-Back Frame Mullion, 2in x 6in Box"
PRESET,,854B2871-BF8F-994B-BFFC-8D0C5884F122,,"0Profile-Perimeter Plate Mullion, 2in x 2in Box",,0Profile,,"Perimeter Plate Mullion, 2in x 2in Box",/Game/ShoppingData/Profiles/Perimeter-Plate-2x2,"0Profile-Perimeter Plate Mullion, 2in x 2in Box"
PRESET,,11E394DC-3D5D-3F46-AF94-4763AE7BB331,,"0Profile-Perimeter Plate Mullion, 2in x 4in Box",,0Profile,,"Perimeter Plate Mullion, 2in x 4in Box",/Game/ShoppingData/Profiles/Perimeter-Plate-2x4,"0Profile-Perimeter Plate Mullion, 2in x 4in Box"
PRESET,,5FF82A4E-2950-1645-A64D-A72BA6246493,,"0Profile-Perimeter Plate Mullion, 2in x 6in Box",,0Profile,,"Perimeter Plate Mullion, 2in x 6in Box",/Game/ShoppingData/Profiles/Perimeter-Plate-2x6,"0Profile-Perimeter Plate Mullion, 2in x 6in Box"
PRESET,,350CAD8C-E1E2-F349-8E82-640AC5929423,,"0Profile-Perimeter C Shape Mullion, 2in x 2in Box",,0Profile,,"Perimeter C Shape Mullion, 2in x 2in Box",/Game/ShoppingData/Profiles/Perimeter-C-2x2,"0Profile-Perimeter C Shape Mullion, 2in x 2in Box"
PRESET,,6A06FF79-6AEA-0B4A-9873-C3FE0F139C8C,,"0Profile-Perimeter C Shape Mullion, 2in x 4in Box",,0Profile,,"Perimeter C Shape Mullion, 2in x 4in Box",/Game/ShoppingData/Profiles/Perimeter-C-2x4,"0Profile-Perimeter C Shape Mullion, 2in x 4in Box"
PRESET,,604AD5A7-41D4-EA47-BD50-87E5848D61DC,,"0Profile-Perimeter C Shape Mullion, 2in x 6in Box",,0Profile,,"Perimeter C Shape Mullion, 2in x 6in Box",/Game/ShoppingData/Profiles/Perimeter-C-2x6,"0Profile-Perimeter C Shape Mullion, 2in x 6in Box"
