TYPENAME,,0DimWDT,,Dimension,,,,,,,
,,Definition,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,
PROPERTY,,STRING,,Name,,Dimension.Name,,,,,
PROPERTY,,DIMENSION,,Width,,Dimension.Width,,,,,
PROPERTY,,DIMENSION,,Depth,,Dimension.Depth,,,,,
PROPERTY,,DIMENSION,,Thickness,,Dimension.Thickness,,,,,
,,Presets,,,,,,,,,
TAGPATHS,DataType=ID,ID,DataType=TG_MyNode+CategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Dimension.Name,Dimension.Width,Dimension.Depth,Dimension.Thickness,DataType=TG_Parent Node+CategoryPath,TG_ParentNode+CategoryPath
PRESET,,0DimWDT --> LAngle-8inW-4inD-0.75inT,,0DimWDT --> LAngle,,L8X4X3/4,8in,4in,0.75in,,2ExtrudedProfile --> Beam/Column --> SteelL
PRESET,,0DimWDT --> LAngle-8inW-4inD-0.625inT,,0DimWDT --> LAngle,,L8X4X5/8,8in,4in,0.625in,,2ExtrudedProfile --> Beam/Column --> SteelL
PRESET,,0DimWDT --> LAngle-8inW-4inD-0.563inT,,0DimWDT --> LAngle,,L8X4X9/16,8in,4in,0.563in,,2ExtrudedProfile --> Beam/Column --> SteelL
PRESET,,0DimWDT --> LAngle-8inW-4inD-0.5inT,,0DimWDT --> LAngle,,L8X4X1/2,8in,4in,0.5in,,2ExtrudedProfile --> Beam/Column --> SteelL
PRESET,,0DimWDT --> LAngle-8inW-4inD-0.438inT,,0DimWDT --> LAngle,,L8X4X7/16,8in,4in,0.438in,,2ExtrudedProfile --> Beam/Column --> SteelL
PRESET,,0DimWDT --> LAngle-7inW-4inD-0.75inT,,0DimWDT --> LAngle,,L7X4X3/4,7in,4in,0.75in,,2ExtrudedProfile --> Beam/Column --> SteelL
PRESET,,0DimWDT --> LAngle-7inW-4inD-0.625inT,,0DimWDT --> LAngle,,L7X4X5/8,7in,4in,0.625in,,2ExtrudedProfile --> Beam/Column --> SteelL
PRESET,,0DimWDT --> LAngle-7inW-4inD-0.5inT,,0DimWDT --> LAngle,,L7X4X1/2,7in,4in,0.5in,,2ExtrudedProfile --> Beam/Column --> SteelL
PRESET,,0DimWDT --> LAngle-7inW-4inD-0.438inT,,0DimWDT --> LAngle,,L7X4X7/16,7in,4in,0.438in,,2ExtrudedProfile --> Beam/Column --> SteelL
PRESET,,0DimWDT --> LAngle-7inW-4inD-0.375inT,,0DimWDT --> LAngle,,L7X4X3/8,7in,4in,0.375in,,2ExtrudedProfile --> Beam/Column --> SteelL
