TYPENAME,,Layer0DTemp,,Layer,,,,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Layer.Name,,,,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=GUID,GUID,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Layer.Name,DataType=Dimensions,Dimension,Value,DataType=MiterPriority,Function,Priority,DataType=Material,AppliesToChannel,InnerMaterial,SurfaceMaterial,ColorTintVariation,ColorTint,DataType=ConstructionCost,MaterialCostRate,LaborCostRate
PRESET,,4B9A0950-7CCC-8C48-AAE7-C88438AA0DC8,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-10in-Finish1-0RawMaterial-Concrete (Normal Aggregate)-D6D7D8-4B9A0950-7CCC-8C48-AAE7-C88438AA0DC8,,Assembly_2FlexDims1Fixed_Layer0D,,"10in, Concrete (Normal Aggregate), Natural",,Thickness,10in,,Structure,1,,Finish1,0RawMaterial-Concrete (Normal Aggregate),,,D6D7D8,,,
PRESET,,6019B90F-E311-C942-9EF4-4E0EBBF71B8A,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-12in-Finish1-0RawMaterial-Concrete (Normal Aggregate)-D6D7D8-6019B90F-E311-C942-9EF4-4E0EBBF71B8A,,Assembly_2FlexDims1Fixed_Layer0D,,"12in, Concrete (Normal Aggregate), Natural",,Thickness,12in,,Structure,1,,Finish1,0RawMaterial-Concrete (Normal Aggregate),,,D6D7D8,,,
PRESET,,AD051AE4-81CF-0645-A8D7-6AC72FAAF74E,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-16in-Finish1-0RawMaterial-Concrete (Normal Aggregate)-D6D7D8-AD051AE4-81CF-0645-A8D7-6AC72FAAF74E,,Assembly_2FlexDims1Fixed_Layer0D,,"16in, Concrete (Normal Aggregate), Natural",,Thickness,16in,,Structure,1,,Finish1,0RawMaterial-Concrete (Normal Aggregate),,,D6D7D8,,,
PRESET,,CF313796-9498-074C-958A-FB650C3F76DA,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-20in-Finish1-0RawMaterial-Concrete (Normal Aggregate)-D6D7D8-CF313796-9498-074C-958A-FB650C3F76DA,,Assembly_2FlexDims1Fixed_Layer0D,,"20in, Concrete (Normal Aggregate), Natural",,Thickness,20in,,Structure,1,,Finish1,0RawMaterial-Concrete (Normal Aggregate),,,D6D7D8,,,
PRESET,,E5070B38-7BEF-A341-B353-469800B36532,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-6in-Finish1-0RawMaterial-Concrete (Normal Aggregate)-D6D7D8-E5070B38-7BEF-A341-B353-469800B36532,,Assembly_2FlexDims1Fixed_Layer0D,,"6in, Concrete (Normal Aggregate), Natural",,Thickness,6in,,Structure,1,,Finish1,0RawMaterial-Concrete (Normal Aggregate),,,D6D7D8,,,
PRESET,,D4F2981D-5A32-7248-B63D-56851F109F83,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-4.125in-Finish1-0RawMaterial-Spruce-Pine-Fir-FFFFFF-D4F2981D-5A32-7248-B63D-56851F109F83,,Assembly_2FlexDims1Fixed_Layer0D,,"4-1/8in, Spruce-Pine-Fir, Natural",,Thickness,4.125in,,Structure,2,,Finish1,0RawMaterial-Spruce-Pine-Fir,,,FFFFFF,,,
PRESET,,D4E0F6EF-E313-7D40-B676-0D6108F301C6,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-30cm-Finish1-0RawMaterial-Rammed Earth-FFFFFF-D4E0F6EF-E313-7D40-B676-0D6108F301C6,,Assembly_2FlexDims1Fixed_Layer0D,,"30cm, Rammed Earth, White",,Thickness,30cm,,Structure,3,,Finish1,0RawMaterial-Rammed Earth,,,FFFFFF,,,
PRESET,,AEB706AF-EF57-7144-9D4E-A2A400C76685,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-1in-Finish1-0RawMaterial-Terrazzo (Beige)-FFFFFF-AEB706AF-EF57-7144-9D4E-A2A400C76685,,Assembly_2FlexDims1Fixed_Layer0D,,"1in, Terrazzo (Beige), White",,Thickness,1in,,Finish,1,,Finish1,0RawMaterial-Terrazzo (Beige),,,FFFFFF,,,
PRESET,,74A9A3DD-F072-6248-929B-6B3BD37755ED,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-1.25in-Finish1-0RawMaterial-Granite (Black 1)-FFFFFF-74A9A3DD-F072-6248-929B-6B3BD37755ED,,Assembly_2FlexDims1Fixed_Layer0D,,"1-1/4in, Granite (Black 1), White",,Thickness,1.25in,,Finish,1,,Finish1,0RawMaterial-Granite (Black 1),,,FFFFFF,,,
PRESET,,AAAB3D50-63ED-5745-9999-E5296F23BB42,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-2in-Finish1-0RawMaterial-Granite (Black 2)-FFFFFF-AAAB3D50-63ED-5745-9999-E5296F23BB42,,Assembly_2FlexDims1Fixed_Layer0D,,"2in, Granite (Black 2), White",,Thickness,2in,,Finish,1,,Finish1,0RawMaterial-Granite (Black 2),,,FFFFFF,,,
PRESET,,75539356-9A45-584A-89AF-E7BDCF6B3B6D,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-2in-Finish1-0RawMaterial-Marble (Black 1)-FFFFFF-75539356-9A45-584A-89AF-E7BDCF6B3B6D,,Assembly_2FlexDims1Fixed_Layer0D,,"2in, Marble (Black 1), White",,Thickness,2in,,Finish,1,,Finish1,0RawMaterial-Marble (Black 1),,,FFFFFF,,,
PRESET,,1C00639B-B1A9-1846-9CD4-7DA91C285B13,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-0.0625in-Finish1-0RawMaterial-Asphalt-594D41-1C00639B-B1A9-1846-9CD4-7DA91C285B13,,Assembly_2FlexDims1Fixed_Layer0D,,"1/16in, Asphalt, Barkwood",,Thickness,0.0625in,,Finish,1,,Finish1,0RawMaterial-Asphalt,,,594D41,,,
PRESET,,3EE5224F-9848-674A-8D35-2D1B69B11081,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-0.0625in-Finish1-0RawMaterial-Plastic-6B6B6B-3EE5224F-9848-674A-8D35-2D1B69B11081,,Assembly_2FlexDims1Fixed_Layer0D,,"1/16in, Plastic, Gray 6",,Thickness,0.0625in,,Membrane,1,,Finish1,0RawMaterial-Plastic,,,6B6B6B,,,
PRESET,,D5087437-B013-5749-AF7A-E9FF2F7A07DB,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-0.5in-Finish1-0RawMaterial-Carpet (Medium Profile)-E9EAE6-D5087437-B013-5749-AF7A-E9FF2F7A07DB,,Assembly_2FlexDims1Fixed_Layer0D,,"1/2in, Carpet (Medium Profile), White",,Thickness,0.5in,,Finish,1,,Finish1,0RawMaterial-Carpet (Medium Profile),,,E9EAE6,,,
PRESET,,C1D224EE-D896-4641-A6A2-3EC8347221A7,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-0.125in-Finish1-0RawMaterial-Cork-FFFFFF-C1D224EE-D896-4641-A6A2-3EC8347221A7,,Assembly_2FlexDims1Fixed_Layer0D,,"1/8in, Cork, Natural",,Thickness,0.125in,,Finish,1,,Finish1,0RawMaterial-Cork,,,FFFFFF,,,
PRESET,,6FB02481-306C-3142-8B21-3B1C06009574,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-5mm-Finish1-0RawMaterial-Felt-44443C-6FB02481-306C-3142-8B21-3B1C06009574,,Assembly_2FlexDims1Fixed_Layer0D,,"5mm, Felt, Weathered Brown",,Thickness,5mm,,Finish,1,,Finish1,0RawMaterial-Felt,,,44443C,,,
PRESET,,43E86C3C-CEA4-6446-BA22-75212095C5B4,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-0.1875in-Finish1-0RawMaterial-Foam (Extruded Polystyrene)-FAF1D0-43E86C3C-CEA4-6446-BA22-75212095C5B4,,Assembly_2FlexDims1Fixed_Layer0D,,"3/16in, Foam (Extruded Polystyrene), Yellow",,Thickness,0.1875in,,Insulation,1,,Finish1,0RawMaterial-Foam (Extruded Polystyrene),,,FAF1D0,,,
PRESET,,4FC4307B-36A7-304F-AD15-1249E65EA2E7,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-0.125in-Finish1-0RawMaterial-Steel-CCCCCC-4FC4307B-36A7-304F-AD15-1249E65EA2E7,,Assembly_2FlexDims1Fixed_Layer0D,,"1/8in, Aluminum, Birch",,Thickness,0.125in,,Finish,1,,Finish1,0RawMaterial-Steel,,,CCCCCC,,,
PRESET,,DC9558D6-F483-A14E-9B19-56FC9F3CED1B,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-0.09375in-Finish1-0RawMaterial-Plastic-6B6B6B-DC9558D6-F483-A14E-9B19-56FC9F3CED1B,,Assembly_2FlexDims1Fixed_Layer0D,,"3/32in, Plastic, Gray 6",,Thickness,0.09375in,,Membrane,1,,Finish1,0RawMaterial-Plastic,,,6B6B6B,,,
