TYPENAME,,2ModuleWDProfile,,Module,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,"Part_ModuleLinear_Steel C-Channel
1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted
0DimWD-1.625inW-3.625inD
0Profile-Steel C-Stud",,Part_ModuleLinear_Steel C-Channel,,"1.625in x 3.625in, Steel C-Channel, Steel, Untinted",1.625in,3.625in,96in,0Profile-Steel C-Stud,0RawMaterial-Steel,-,FFFFFF,,1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted,0DimWD-1.625inW-3.625inD,0Profile-Steel C-Stud,,,,,,,,,,,X,,,X,
PRESET,,"Part_ModuleLinear_Steel C-Channel
1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted
0DimWD-1.625inW-6inD
0Profile-Steel C-Stud",,Part_ModuleLinear_Steel C-Channel,,"1.625in x 6in, Steel C-Channel, Steel, Untinted",1.625in,6in,96in,0Profile-Steel C-Stud,0RawMaterial-Steel,-,FFFFFF,,1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted,0DimWD-1.625inW-6inD,0Profile-Steel C-Stud,,,,,,,,,,,X,,,X,
PRESET,,"Part_ModuleLinear_Steel C-H Channel
1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted
0DimWD-1.5inW-6inD
0Profile-Steel C-H Stud",,Part_ModuleLinear_Steel C-H Channel,,"1.5in x 6in, Steel C-H Channel, Steel, Untinted",1.5in,6in,96in,0Profile-Steel C-H Stud,0RawMaterial-Steel,-,FFFFFF,,1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted,0DimWD-1.5inW-6inD,0Profile-Steel C-H Stud,,,,,,,,,,,,,,,X
PRESET,,"Part_ModuleLinear_Steel Hat Channel
1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted
0DimWD-1.25inW-0.875inD
0Profile-Steel Hat Channel",,Part_ModuleLinear_Steel Hat Channel,,"1.25in x 0.875in, Steel Hat Channel, Steel, Untinted",1.25in,0.875in,96in,0Profile-Steel Hat Channel,0RawMaterial-Steel,-,FFFFFF,,1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted,0DimWD-1.25inW-0.875inD,0Profile-Steel Hat Channel,,,,X,,,,,,,,,,,
PRESET,,"Part_ModuleLinear_Steel Web Joist
1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted
0DimWD-3.5inW-11.875inD
0Profile-Steel Web Joist",,Part_ModuleLinear_Steel Web Joist,,"3.5in x 11.875in, Steel Web Joist, Steel, Untinted",3.5in,11.875in,96in,0Profile-Steel Web Joist,0RawMaterial-Steel,-,FFFFFF,,1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted,0DimWD-3.5inW-11.875inD,0Profile-Steel Web Joist,,,,,,,,,,,,X,,,
PRESET,,"Part_ModuleLinear_Steel Z Channel
1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted
0DimWD-2inW-1.5inD
0Profile-Steel Z Channel",,Part_ModuleLinear_Steel Z Channel,,"2in x 1.5in, Steel Z Channel, Steel, Untinted",2in,1.5in,96in,0Profile-Steel Z Channel,0RawMaterial-Steel,-,FFFFFF,,1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted,0DimWD-2inW-1.5inD,0Profile-Steel Z Channel,,,,,X,,,,,,,,,,
PRESET,,"Part_ModuleLinear_Wood Lumber
1Material_Wood_Spruce-Pine-Fir-0RawMaterial-Spruce-Pine-Fir-0Color_Wood_Spruce-Pine-Fir-FFFFFF-Natural
0DimWD-0.75inW-0.75inD
0Profile-Solid Rectangle",,Part_ModuleLinear_Wood Lumber,,"0.75in x 0.75in, Wood Lumber, Spruce-Pine-Fir, Natural",0.75in,0.75in,96in,0Profile-Solid Rectangle,0RawMaterial-Spruce-Pine-Fir,-,FFFFFF,,1Material_Wood_Spruce-Pine-Fir-0RawMaterial-Spruce-Pine-Fir-0Color_Wood_Spruce-Pine-Fir-FFFFFF-Natural,0DimWD-0.75inW-0.75inD,0Profile-Solid Rectangle,,,,,,X,,,,,,,,,
PRESET,,"Part_ModuleLinear_Wood Lumber
1Material_Wood_Spruce-Pine-Fir-0RawMaterial-Spruce-Pine-Fir-0Color_Wood_Spruce-Pine-Fir-FFFFFF-Natural
0DimWD-1.5inW-3.5inD
0Profile-Solid Rectangle",,Part_ModuleLinear_Wood Lumber,,"2x4, Wood Lumber, Spruce-Pine-Fir, Natural",1.5in,3.5in,96in,0Profile-Solid Rectangle,0RawMaterial-Spruce-Pine-Fir,-,FFFFFF,,1Material_Wood_Spruce-Pine-Fir-0RawMaterial-Spruce-Pine-Fir-0Color_Wood_Spruce-Pine-Fir-FFFFFF-Natural,0DimWD-1.5inW-3.5inD,0Profile-Solid Rectangle,,,,,,,X,,,,,,X,,
PRESET,,"Part_ModuleLinear_Wood Lumber
1Material_Wood_Spruce-Pine-Fir-0RawMaterial-Spruce-Pine-Fir-0Color_Wood_Spruce-Pine-Fir-FFFFFF-Natural
0DimWD-1.5inW-5.5inD
0Profile-Solid Rectangle",,Part_ModuleLinear_Wood Lumber,,"2x6, Wood Lumber, Spruce-Pine-Fir, Natural",1.5in,5.5in,96in,0Profile-Solid Rectangle,0RawMaterial-Spruce-Pine-Fir,-,FFFFFF,,1Material_Wood_Spruce-Pine-Fir-0RawMaterial-Spruce-Pine-Fir-0Color_Wood_Spruce-Pine-Fir-FFFFFF-Natural,0DimWD-1.5inW-5.5inD,0Profile-Solid Rectangle,,,,,,,X,,,,,,X,,
PRESET,,"Part_ModuleLinear_Wood Lumber
1Material_Wood_Spruce-Pine-Fir-0RawMaterial-Spruce-Pine-Fir-0Color_Wood_Spruce-Pine-Fir-FFFFFF-Natural
0DimWD-1.5inW-7.25inD
0Profile-Solid Rectangle",,Part_ModuleLinear_Wood Lumber,,"2x8, Wood Lumber, Spruce-Pine-Fir, Natural",1.5in,7.25in,96in,0Profile-Solid Rectangle,0RawMaterial-Spruce-Pine-Fir,-,FFFFFF,,1Material_Wood_Spruce-Pine-Fir-0RawMaterial-Spruce-Pine-Fir-0Color_Wood_Spruce-Pine-Fir-FFFFFF-Natural,0DimWD-1.5inW-7.25inD,0Profile-Solid Rectangle,,,,,,,X,,,,,,X,,
PRESET,,"Part_ModuleLinear_Wood Lumber
1Material_Wood_Spruce-Pine-Fir-0RawMaterial-Spruce-Pine-Fir-0Color_Wood_Spruce-Pine-Fir-FFFFFF-Natural
0DimWD-1.5inW-9.25inD
0Profile-Solid Rectangle",,Part_ModuleLinear_Wood Lumber,,"2x10, Wood Lumber, Spruce-Pine-Fir, Natural",1.5in,9.25in,96in,0Profile-Solid Rectangle,0RawMaterial-Spruce-Pine-Fir,-,FFFFFF,,1Material_Wood_Spruce-Pine-Fir-0RawMaterial-Spruce-Pine-Fir-0Color_Wood_Spruce-Pine-Fir-FFFFFF-Natural,0DimWD-1.5inW-9.25inD,0Profile-Solid Rectangle,,,,,,,X,,,,,,X,,
PRESET,,"Part_ModuleLinear_Wood Lumber
1Material_Fibrous_Wood Strands-0RawMaterial-Wood Strands-0Color_Abstract-FFFFFF-White
0DimWD-1.5inW-3.5inD
0Profile-Solid Rectangle",,Part_ModuleLinear_Wood Lumber,,"2x4, Wood Lumber, Wood Strands, White",1.5in,3.5in,96in,0Profile-Solid Rectangle,0RawMaterial-Wood Strands,-,FFFFFF,,1Material_Fibrous_Wood Strands-0RawMaterial-Wood Strands-0Color_Abstract-FFFFFF-White,0DimWD-1.5inW-3.5inD,0Profile-Solid Rectangle,,,,,,,,X,,,,,X,,
PRESET,,"Part_ModuleLinear_Wood Lumber
1Material_Fibrous_Wood Strands-0RawMaterial-Wood Strands-0Color_Abstract-FFFFFF-White
0DimWD-1.5inW-7.25inD
0Profile-Solid Rectangle",,Part_ModuleLinear_Wood Lumber,,"2x8, Wood Lumber, Wood Strands, White",1.5in,7.25in,96in,0Profile-Solid Rectangle,0RawMaterial-Wood Strands,-,FFFFFF,,1Material_Fibrous_Wood Strands-0RawMaterial-Wood Strands-0Color_Abstract-FFFFFF-White,0DimWD-1.5inW-7.25inD,0Profile-Solid Rectangle,,,,,,,,X,,,,,X,,
PRESET,,"Part_ModuleLinear_Wood Web Joist
1Material_Wood_Spruce-Pine-Fir-0RawMaterial-Spruce-Pine-Fir-0Color_Wood_Spruce-Pine-Fir-FFFFFF-Natural
0DimWD-3.5inW-11.875inD
0Profile-Wood Web Joist",,Part_ModuleLinear_Wood Web Joist,,"3.5in x 11.875in, Wood Web Joist, Spruce-Pine-Fir, Natural",3.5in,11.875in,96in,0Profile-Wood Web Joist,0RawMaterial-Spruce-Pine-Fir,-,FFFFFF,,1Material_Wood_Spruce-Pine-Fir-0RawMaterial-Spruce-Pine-Fir-0Color_Wood_Spruce-Pine-Fir-FFFFFF-Natural,0DimWD-3.5inW-11.875inD,0Profile-Wood Web Joist,,,,,,,,,X,,,,,,
PRESET,,"Part_ModuleLinear_Wood-Chord, Steel-Web Joist
1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted
0DimWD-3.5inW-11.875inD
0Profile-Wood-Chord Steel-Web Joist",,"Part_ModuleLinear_Wood-Chord, Steel-Web Joist",,"3.5in x 11.875in, Wood-Chord, Steel-Web Joist, Steel, Untinted",3.5in,11.875in,96in,0Profile-Wood-Chord Steel-Web Joist,0RawMaterial-Spruce-Pine-Fir,-,FFFFFF,,1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted,0DimWD-3.5inW-11.875inD,0Profile-Wood-Chord Steel-Web Joist,,,,,,,,,,X,,,,,
