TAGPATHS,DataType=GUID,GUID,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Part.Name,DataType=Mesh,Mesh,DataType=Material,AppliesToChannel,InnerMaterial,SurfaceMaterial,ColorTint,DataType=StartsInProject,x,DataType=InputPins,ChildMesh,ChildMaterial,DataType=MaterialChannels,AppliesToMaterialChannel,DataType=ParentCategoryPath,XXXXHardwareGroup_Cabinet_Door,XXXXHardwareGroup_Cabinet_Drawer,XXXXHardwareGroup_Door_Barn,XXXXHardwareGroup_Door_Folding,XXXXHardwareGroup_Door_Overhead,XXXXHardwareGroup_Door_Pivot,XXXXHardwareGroup_Door_Pocket,XXXXHardwareGroup_Door_Sliding,XXXXHardwareGroup_Door_Revolving,XXXXHardwareGroup_Door_Swing,XXXXHardwareGroup_RailingPanel_Glass,XXXXHardwareGroup_RailingPanel_Solid,XXXXHardwareGroup_Window_Awning,XXXXHardwareGroup_Window_Casement,XXXXHardwareGroup_Window_Double-Action,XXXXHardwareGroup_Window_Fixed,XXXXHardwareGroup_Window_Hopper,XXXXHardwareGroup_Window_Jalousie,Assembly_Rigged_Cabinet_Drawer,Assembly_Rigged_Cabinet_Overhead,Assembly_Rigged_Cabinet_Sliding,Assembly_Rigged_Cabinet_Swing,Assembly_Rigged_Door_Barn,Assembly_Rigged_Door_Folding,Assembly_Rigged_Door_Overhead,Assembly_Rigged_Door_Pivot,Assembly_Rigged_Door_Pocket,Assembly_Rigged_Door_Revolving,Assembly_Rigged_Door_Sliding,Assembly_Rigged_Door_Swing,Assembly_Rigged_FFESet,Assembly_Rigged_Window_Awning,Assembly_Rigged_Window_Casement,Assembly_Rigged_Window_Double-Action,Assembly_Rigged_Window_Fixed,Assembly_Rigged_Window_Hopper,Assembly_Rigged_Window_Hung,Assembly_Rigged_Window_Jalousie,Assembly_Rigged_Window_Sliding,Assembly_Rigged_HingeSet,Assembly_Rigged_Panel,Assembly_Rigged_CabinetFace,Assembly_Rigged_Door,Assembly_Rigged_Window,Assembly_Rigged_FFESet,
PRESET,,82DF8505-D0A5-F147-8ABA-88BFC6E5790E,,Part_Frame-0Mesh-Cabinet-Frame-Frameless-01.Cabinet-Frame-Frameless-01'-Finish1-0RawMaterial-Plywood-0RawMaterial-Paint-FFFFFF,,Part_Frame,,"""Frameless"" Frame, Ash, Natural",,0Mesh-Cabinet-Frame-Frameless-01.Cabinet-Frame-Frameless-01',,Finish1,0RawMaterial-Plywood,0RawMaterial-Paint,FFFFFF,,,,0Mesh-Cabinet-Frame-Frameless-01.Cabinet-Frame-Frameless-01',1Material_Wood_Ash-0RawMaterial-Ash-0Color_Wood_Ash-FFFFFF-Natural,,Finish1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,
PRESET,,9FA7A1CB-FB3A-0B4D-A173-83480FD854B2,,Part_Frame-0Mesh-Cabinet-Frame-Sliding-01.Cabinet-Frame-Sliding-01'-Finish1-0RawMaterial-Aluminum-0RawMaterial-Paint-364155,,Part_Frame,,"Sliding Frame, Paint, Deep Navy",,0Mesh-Cabinet-Frame-Sliding-01.Cabinet-Frame-Sliding-01',,Finish1,0RawMaterial-Aluminum,0RawMaterial-Paint,364155,,,,0Mesh-Cabinet-Frame-Sliding-01.Cabinet-Frame-Sliding-01',1Material_Spread_Paint-0RawMaterial-Paint-0Color_Spread_Paint-364155-DeepNavy,,Finish1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,
PRESET,,3AE67709-0542-2241-8D11-9A3132139E8B,,Part_Frame-0Mesh-Cabinet-Frame-Sliding-01.Cabinet-Frame-Sliding-01'-Finish1-0RawMaterial-Aluminum-0RawMaterial-Paint-FEF1ED,,Part_Frame,,"Sliding Frame, Paint, Gentle White",,0Mesh-Cabinet-Frame-Sliding-01.Cabinet-Frame-Sliding-01',,Finish1,0RawMaterial-Aluminum,0RawMaterial-Paint,FEF1ED,,,,0Mesh-Cabinet-Frame-Sliding-01.Cabinet-Frame-Sliding-01',1Material_Spread_Paint-0RawMaterial-Paint-0Color_Spread_Paint-F3F1ED-GentleWhite,,Finish1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,
PRESET,,7CB22EC7-E589-744A-B60B-D92DE48E17D3,,Part_HandleStatic-0Mesh-Cabinet-Handle-Knob-01.Cabinet-Handle-Knob-01'-Finish1-0RawMaterial-Aluminum---331F20,,Part_HandleStatic,,"Knob Handle 1, Aluminum, Patrician Bronze",,0Mesh-Cabinet-Handle-Knob-01.Cabinet-Handle-Knob-01',,Finish1,0RawMaterial-Aluminum,-,331F20,,,,0Mesh-Cabinet-Handle-Knob-01.Cabinet-Handle-Knob-01',1Material_Metal_Aluminum-0RawMaterial-Aluminum-0Color_Metal_Aluminum-331F20-PatricianBronze,,Finish1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,
PRESET,,81F4F9DA-C698-1142-B99F-2B4357F128AB,,Part_HandleStatic-0Mesh-Cabinet-Handle-Knob-02.Cabinet-Handle-Knob-02'-Finish1-0RawMaterial-Aluminum---331F20,,Part_HandleStatic,,"Knob Handle 2, Aluminum, Patrician Bronze",,0Mesh-Cabinet-Handle-Knob-02.Cabinet-Handle-Knob-02',,Finish1,0RawMaterial-Aluminum,-,331F20,,,,0Mesh-Cabinet-Handle-Knob-02.Cabinet-Handle-Knob-02',1Material_Metal_Aluminum-0RawMaterial-Aluminum-0Color_Metal_Aluminum-331F20-PatricianBronze,,Finish1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,
PRESET,,733B85F5-D72A-CE4C-8B17-D4B1CE7D4DA9,,Part_HandleStatic-0Mesh-Cabinet-Handle-Knob-03.Cabinet-Handle-Knob-03'-Finish1-0RawMaterial-Aluminum---331F20,,Part_HandleStatic,,"Knob Handle 3, Aluminum, Patrician Bronze",,0Mesh-Cabinet-Handle-Knob-03.Cabinet-Handle-Knob-03',,Finish1,0RawMaterial-Aluminum,-,331F20,,,,0Mesh-Cabinet-Handle-Knob-03.Cabinet-Handle-Knob-03',1Material_Metal_Aluminum-0RawMaterial-Aluminum-0Color_Metal_Aluminum-331F20-PatricianBronze,,Finish1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,
PRESET,,9CE454B8-9AD4-E148-B635-C4D1CED9FB81,,Part_HandleStatic-0Mesh-Cabinet-Handle-Knob-04.Cabinet-Handle-Knob-04'-Finish1-0RawMaterial-Aluminum---331F20,,Part_HandleStatic,,"Knob Handle 4, Aluminum, Patrician Bronze",,0Mesh-Cabinet-Handle-Knob-04.Cabinet-Handle-Knob-04',,Finish1,0RawMaterial-Aluminum,-,331F20,,,,0Mesh-Cabinet-Handle-Knob-04.Cabinet-Handle-Knob-04',1Material_Metal_Aluminum-0RawMaterial-Aluminum-0Color_Metal_Aluminum-331F20-PatricianBronze,,Finish1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,
PRESET,,11C23D1C-AE9F-4A46-97AD-E2A05006B2AC,,Part_HandleStatic-0Mesh-Cabinet-Handle-Pull-01.Cabinet-Handle-Pull-01'-Finish1-0RawMaterial-Aluminum---EBECF0,,Part_HandleStatic,,"Pull Handle 1, Aluminum (Brushed), Light Gray",,0Mesh-Cabinet-Handle-Pull-01.Cabinet-Handle-Pull-01',,Finish1,0RawMaterial-Aluminum,-,EBECF0,,,,0Mesh-Cabinet-Handle-Pull-01.Cabinet-Handle-Pull-01',1Material_Metal_Aluminum-0RawMaterial-Aluminum (Brushed)-0Color_Metal_Aluminum-EBECF0-LightGray,,Finish1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,
PRESET,,95EE8EDD-BFEB-2F46-AC41-AA924AF28B9F,,Part_HandleStatic-0Mesh-Cabinet-Handle-Pull-01.Cabinet-Handle-Pull-01'-Finish1-0RawMaterial-Aluminum---331F20,,Part_HandleStatic,,"Pull Handle 1, Aluminum, Patrician Bronze",,0Mesh-Cabinet-Handle-Pull-01.Cabinet-Handle-Pull-01',,Finish1,0RawMaterial-Aluminum,-,331F20,,,,0Mesh-Cabinet-Handle-Pull-01.Cabinet-Handle-Pull-01',1Material_Metal_Aluminum-0RawMaterial-Aluminum-0Color_Metal_Aluminum-331F20-PatricianBronze,,Finish1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,
PRESET,,DF81D72A-2D1D-FD45-9F7F-C1A2B00AFE1D,,Part_HandleStatic-0Mesh-Cabinet-Handle-Pull-02.Cabinet-Handle-Pull-02'-Finish1-0RawMaterial-Aluminum---EBECF0,,Part_HandleStatic,,"Pull Handle 2, Aluminum (Brushed), Light Gray",,0Mesh-Cabinet-Handle-Pull-02.Cabinet-Handle-Pull-02',,Finish1,0RawMaterial-Aluminum,-,EBECF0,,,,0Mesh-Cabinet-Handle-Pull-02.Cabinet-Handle-Pull-02',1Material_Metal_Aluminum-0RawMaterial-Aluminum (Brushed)-0Color_Metal_Aluminum-EBECF0-LightGray,,Finish1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,
