TYPENAME,,Assembly_Pattern2D,,Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,,,,,,,,,Y,1,FractionalRemainder,,,"Y1,1",,,,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,,,,,,,,,,,,,,"Y1,2",,,,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,,,,,,,,,,,,,S02,"X0,1",,,,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,,,,,,,,,,,,,S03,"X1,2",,,,,,,,,,,,,,,,,,,,,
PRESET,,af6b4674-a03f-46c9-92fe-d881853e0d94,,"Planar_Pattern2D
Wainscoting
af6b4674-a03f-46c9-92fe-d881853e0d94",,Planar_Pattern2D,,Wainscoting,,X,,IconSizeX,48in,,X,30,Absolute,,S00,"F0,0",,,,,S00,Part_WoodPaneling,"V0,0",ParentFaceNormal,"X0,0",from Preset,from Preset,S00-whatever_V00/V10_details_say,0,0,0,0,0,0,,,
PRESET,,,,,,,,,,,,IconSizeY,64in,,Y,42,Absolute,,S01,"F0,1",,X,,,S01,Part_Paint,"V0,1",ParentFaceNormal,"X0,1",from Preset,from Preset,S00-whatever_V00/V10_details_say,0,0,0,0,0,0,,,
PRESET,,,,,,,,,,,,,,,Y,1,FractionalRemainder,,S02,"X0,0",,X,,,S02,Part_BaseMoulding,"V0,0",ParentFaceNormal,"X0,0",from Preset,from Preset,S00-whatever_V00/V10_details_say,0,0,0,0,0,0,,,
PRESET,,,,,,,,,,,,,,,,,,,S03,"Y0,0",,,,,S03,Part_VertMoulding,"V0,0",ParentFaceNormal,"Y0,0",from Preset,from Preset,S00-whatever_V00/V10_details_say,0,0,0,0,0,0,,,
PRESET,,,,,,,,,,,,,,,,,,,S04,"X0,1",,X,,,S04,Part_ChairRail,"V0,1",ParentFaceNormal,"X0,1",from Preset,from Preset,S00-whatever_V00/V10_details_say,0,0,0,0,0,0,,,
PRESET,,,,,,,,,,,,,,,,,,,S05,"X0,2",,X,,,S05,Part_CrownMoulding,"V0,2",ParentFaceNormal,"X0,2",from Preset,from Preset,S00-whatever_V00/V10_details_say,0,0,0,0,0,0,,,
