TYPENAME,2Part0Slice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,"TraditionalLateralPullHandleSet-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Traditional Lateral Pull Handle Set,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Traditional Lateral Pull Handle Set,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,"ModernLateralPullHandleSet-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Modern Lateral Pull Handle Set,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Modern Lateral Pull Handle Set,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,"FlushLateralPullHandleSet-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Flush Lateral Pull Handle Set,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Flush Lateral Pull Handle Set,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,"ShortHinge-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Short Hinge,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Short Hinge,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,"LongHinge-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Long Hinge,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Long Hinge,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,"LockSet-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Lock Set,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Lock Set,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,"SurfaceLock-Chain-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Surface Lock - Chain,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Surface Lock - Chain,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,"SurfaceLock-Bolt-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Surface Lock - Bolt,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Surface Lock - Bolt,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,"TraditionalMailSlot-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Mail Slot,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Traditional Mail Slot,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
PRESET,"ModernMailSlot-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Mail Slot,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Modern Mail Slot,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
PRESET,"TraditionalKnocker-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Knocker,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Traditional Knocker,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
PRESET,"ModernKnocker-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Knocker,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Modern Knocker,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
