TAGPATHS,DataType=ID,ID,DataType=TG_MyNode+CategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Dimension.Name,Dimension.Width,Dimension.Length,DataType=TG_Parent Node+CategoryPath,2ModuleLWT --> Board/Panel --> Cement,2ModuleLWT --> Board/Panel --> Cementitious Wood Fiber,2ModuleLWT --> Board/Panel --> Foam,2ModuleLWT --> Board/Panel --> Fiber Cement,2ModuleLWT --> Board/Panel --> Gypsum,2ModuleLWT --> Board/Panel --> MDF (Medium-Density Fiberboard),2ModuleLWT --> Board/Panel --> Metal,2ModuleLWT --> Board/Panel --> OSB (Oriented Strand Board),2ModuleLWT --> Board/Panel --> Particle Board,2ModuleLWT --> Board/Panel --> Plywood,2ModuleLWT --> Plank --> Engineered Wood,2ModuleLWT --> Plank --> Wood,2ModuleLWT --> Tile --> Acoustic Ceiling Tile,2ModuleLWT --> Tile --> Brick Veneer,2ModuleLWT --> Tile --> Carpet,2ModuleLWT --> Tile --> Clay,2ModuleLWT --> Tile --> Cork,2ModuleLWT --> Tile --> Glass,2ModuleLWT --> Tile --> Laminate,2ModuleLWT --> Tile --> Luxury Vinyl,2ModuleLWT --> Tile --> Porcelain,2ModuleLWT --> Tile --> Stone,2ModuleLWT --> Tile --> Vinyl Composite,2ModuleLWT --> Shingle --> Asphalt,2ModuleLWT --> Shingle --> Clay,2ModuleLWT --> Shingle --> Metal,2ModuleLWT --> Shingle --> Stone,2ModuleLWT --> Shingle --> Wood
PRESET,,0DimLW-8in-4in,,0DimLW,,4in x 8in,4in,8in,,,,,,,,,,,,,,,,,X,,X,,,X,X,,,,,,
PRESET,,0DimLW-12in-4in,,0DimLW,,4in x 12in,4in,12in,,,,,,,,,,,,,,,,,X,,X,,,X,X,,,,,,
PRESET,,0DimLW-32in-5in,,0DimLW,,5in x 32in,5in,32in,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,
PRESET,,0DimLW-48in-5in,,0DimLW,,5in x 48in,5in,48in,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,
PRESET,,0DimLW-60in-5in,,0DimLW,,5in x 60in,5in,60in,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,
PRESET,,0DimLW-6in-6in,,0DimLW,,6in x 6in,6in,6in,,,,,,,,,,,,,,,,,,X,,,X,,,X,,,,,
PRESET,,0DimLW-9in-6in,,0DimLW,,6in x 9in,6in,9in,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,
PRESET,,0DimLW-12in-6in,,0DimLW,,6in x 12in,6in,12in,,,,,,,,,,,,,,,,,,X,,,X,,,X,,,,,
PRESET,,0DimLW-18in-6in,,0DimLW,,6in x 18in,6in,18in,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,
PRESET,,0DimLW-24in-6in,,0DimLW,,6in x 24in,6in,24in,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,
PRESET,,0DimLW-12in-7in,,0DimLW,,7in x 12in,7in,12in,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X
PRESET,,0DimLW-48in-7in,,0DimLW,,7in x 48in,7in,48in,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,
PRESET,,0DimLW-60in-7in,,0DimLW,,7in x 60in,7in,60in,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,
PRESET,,0DimLW-72in-7in,,0DimLW,,7in x 72in,7in,72in,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,
PRESET,,0DimLW-7.625in-7.625in,,0DimLW,,7.625in x 7.625in,7.625in,7.625in,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
PRESET,,0DimLW-8in-8in,,0DimLW,,8in x 8in,8in,8in,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,
PRESET,,0DimLW-12in-8in,,0DimLW,,8in x 12in,8in,12in,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,
PRESET,,0DimLW-16in-8in,,0DimLW,,8in x 16in,8in,16in,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,
PRESET,,0DimLW-24in-8in,,0DimLW,,8in x 24in,8in,24in,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,
PRESET,,0DimLW-24in-8in,,0DimLW,,8in x 24in,8in,24in,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,
PRESET,,0DimLW-10in-10in,,0DimLW,,10in x 10in,10in,10in,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,
PRESET,,0DimLW-20in-10in,,0DimLW,,10in x 20in,10in,20in,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,
PRESET,,0DimLW-12in-12in,,0DimLW,,12in x 12in,12in,12in,,,,,,,,X,,,,,,,,X,,X,,X,X,,X,X,X,X,X,X,X
PRESET,,0DimLW-16in-12in,,0DimLW,,12in x 16in,12in,16in,,,,,,,,X,,,,,,,,,,,,X,X,,X,X,,,,,
PRESET,,0DimLW-18in-12in,,0DimLW,,12in x 18in,12in,18in,,,,,,,,X,,,,,,,,X,,X,,X,X,,X,X,,,,,
PRESET,,0DimLW-24in-12in,,0DimLW,,12in x 24in,12in,24in,,,,,,,,X,,,,,,,,,,X,,X,X,,X,X,X,X,X,X,X
PRESET,,0DimLW-30in-12in,,0DimLW,,12in x 30in,12in,30in,,,,,,,,X,,,,,,,,,,,,X,X,,X,X,,,,,
PRESET,,0DimLW-36in-12in,,0DimLW,,12in x 36in,12in,36in,,,,,,,,X,,,,,,,,X,,X,,X,X,,X,X,,,,,
PRESET,,0DimLW-16in-16in,,0DimLW,,16in x 16in,16in,16in,,,,,,,,X,,,,,,,,X,,X,,X,X,,X,X,X,X,X,X,X
PRESET,,0DimLW-24in-16in,,0DimLW,,16in x 24in,16in,24in,,,,,,,,X,,,,,,,,,,,,X,X,,X,X,,,,,
