TYPENAME,3HardwareGroup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,PrivacySwingDoor1,,,,Privacy Swing Door 1,,Hinge Set,"ModernKnobHandleSet-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
PRESET,,,,,,,Hinge,"TraditionalPullHandleSet-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,Handle Set,"TraditionalPullHandleSet-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,PrivacySwingDoor2,,,,Privacy Swing Door 2,,Hinge Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,Hinge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,Handle Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,Surface Lock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,SecureSwingDoor(KeyedHandle),,,,Secure Swing Door (Keyed Handle),,Hinge Set,"ModernKnobHandleSet-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
PRESET,,,,,,,Hinge,"TraditionalPullHandleSet-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,Handle Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
