TYPENAME,,Assembly_2FlexDims1Fixed_PlanarPattern,,Layer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Layer.Name,,,,,,,,,,,,,,,,,,,,,,,,,,
,,InputExtensibility,,InputPreset,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildModuleArray,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildGapArray,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildGapMaterial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=GUID,GUID,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Layer.Name,DataType=Dimensions,Dimension,Value,DataType=Pattern,Pattern,DataType=Gap,Material,Color,DataType=InputPins,ChildModuleArray,ChildGapArray,DataType=FinalPartTransformAtSlot,LocationX,LocationY,LocationZ,SizeX,SizeY,SizeZ,RotationX,RotationY,RotationZ,FlipX,FlipY,FlipZ
PRESET,,2AB97E33-7109-0B4E-913F-5C5E46C0CA5F,,"Assembly_2FlexDims1Fixed_PlanarPattern
Part_1FlexDim2Fixed_ModuleLinear_Steel Z Channel-Width-1.5in-Depth-2in-0Profile-Steel Z Channel-Finish1-0RawMaterial-Steel-FFFFFF
0LayerPattern_1D-24-Inch O.C.
Part_1FlexDim2Fixed_Gap1D-Finish1-0RawMaterial-Air-FFFFFF
2AB97E33-7109-0B4E-913F-5C5E46C0CA5F",,Assembly_2FlexDims1Fixed_PlanarPattern,,"2"" Steel Z Channels @ 24in O.C.",,IconLength,64in,,0LayerPattern_1D-24-Inch O.C.,,0RawMaterial-Air,FFFFFF,,Part_1FlexDim2Fixed_ModuleLinear_Steel Z Channel-Width-1.5in-Depth-2in-0Profile-Steel Z Channel-Finish1-0RawMaterial-Steel-FFFFFF,Part_1FlexDim2Fixed_Gap1D-Finish1-0RawMaterial-Air-FFFFFF,,,,,,,,,,,,,
PRESET,,,,,,,,,,IconHeight,48in,,,,,,,,,,,,,,,,,,,,,
PRESET,,0D3C22BC-D64C-0D44-8083-8EE98380CE9F,,"Assembly_2FlexDims1Fixed_PlanarPattern
Part_1FlexDim2Fixed_ModuleLinear_Steel Z Channel-Width-1.5in-Depth-1.5in-0Profile-Steel Z Channel-Finish1-0RawMaterial-Steel-FFFFFF
0LayerPattern_1D-24-Inch O.C.
Part_1FlexDim2Fixed_Gap1D-Finish1-0RawMaterial-Air-FFFFFF
0D3C22BC-D64C-0D44-8083-8EE98380CE9F",,Assembly_2FlexDims1Fixed_PlanarPattern,,"1 1/2"" Steel Z Channels @ 24in O.C. (Insulated)",,IconLength,64in,,0LayerPattern_1D-24-Inch O.C.,,0RawMaterial-Foam (Extruded Polystyrene),ECB9BE,,Part_1FlexDim2Fixed_ModuleLinear_Steel Z Channel-Width-1.5in-Depth-1.5in-0Profile-Steel Z Channel-Finish1-0RawMaterial-Steel-FFFFFF,Part_1FlexDim2Fixed_Gap1D-Finish1-0RawMaterial-Air-FFFFFF,,,,,,,,,,,,,
PRESET,,,,,,,,,,IconHeight,48in,,,,,,,,,,,,,,,,,,,,,
PRESET,,78751348-089A-B343-A977-3E99C9759FA0,,"Assembly_2FlexDims1Fixed_PlanarPattern
Part_1FlexDim2Fixed_ModuleLinear_Wood Lumber-Width-0.75in-Depth-0.75in-0Profile-Solid Rectangle-Finish1-0RawMaterial-Spruce-Pine-Fir-FFFFFF
0LayerPattern_1D-16-Inch O.C.
Part_1FlexDim2Fixed_Gap1D-Finish1-0RawMaterial-Air-FFFFFF
78751348-089A-B343-A977-3E99C9759FA0",,Assembly_2FlexDims1Fixed_PlanarPattern,,Wood 1x1s @ 16in O.C.,,IconLength,64in,,0LayerPattern_1D-16-Inch O.C.,,0RawMaterial-Air,FFFFFF,,Part_1FlexDim2Fixed_ModuleLinear_Wood Lumber-Width-0.75in-Depth-0.75in-0Profile-Solid Rectangle-Finish1-0RawMaterial-Spruce-Pine-Fir-FFFFFF,Part_1FlexDim2Fixed_Gap1D-Finish1-0RawMaterial-Air-FFFFFF,,,,,,,,,,,,,
PRESET,,,,,,,,,,IconHeight,48in,,,,,,,,,,,,,,,,,,,,,
PRESET,,BF634294-BBE0-4643-AD6C-C51DF35BFABE,,"Assembly_2FlexDims1Fixed_PlanarPattern
Part_1FlexDim2Fixed_ModuleLinear_Wood Lumber-Width-1.5in-Depth-5.5in-0Profile-Solid Rectangle-Finish1-0RawMaterial-Spruce-Pine-Fir-FFFFFF
0LayerPattern_1D-16-Inch O.C.
Part_1FlexDim2Fixed_Gap1D-Finish1-0RawMaterial-Fiberglass Wool-EDE79C
BF634294-BBE0-4643-AD6C-C51DF35BFABE",,Assembly_2FlexDims1Fixed_PlanarPattern,,Wood 2x6s @ 16in O.C. (Insulated),,IconLength,64in,,0LayerPattern_1D-16-Inch O.C.,,0RawMaterial-Foam (Extruded Polystyrene),ECB9BE,,Part_1FlexDim2Fixed_ModuleLinear_Wood Lumber-Width-1.5in-Depth-5.5in-0Profile-Solid Rectangle-Finish1-0RawMaterial-Spruce-Pine-Fir-FFFFFF,Part_1FlexDim2Fixed_Gap1D-Finish1-0RawMaterial-Fiberglass Wool-EDE79C,,,,,,,,,,,,,
PRESET,,,,,,,,,,IconHeight,48in,,,,,,,,,,,,,,,,,,,,,
PRESET,,20F179D9-6D3F-4746-A632-199EE7278AB5,,"Assembly_2FlexDims1Fixed_PlanarPattern
Part_1FlexDim2Fixed_ModuleLinear_Wood Lumber-Width-1.5in-Depth-5.5in-0Profile-Solid Rectangle-Finish1-0RawMaterial-Spruce-Pine-Fir-FFFFFF
0LayerPattern_1D-24-Inch O.C.
Part_1FlexDim2Fixed_Gap1D-Finish1-0RawMaterial-Air-FFFFFF
20F179D9-6D3F-4746-A632-199EE7278AB5",,Assembly_2FlexDims1Fixed_PlanarPattern,,Wood 2x6s @ 24in O.C.,,IconLength,64in,,0LayerPattern_1D-24-Inch O.C.,,0RawMaterial-Air,FFFFFF,,Part_1FlexDim2Fixed_ModuleLinear_Wood Lumber-Width-1.5in-Depth-5.5in-0Profile-Solid Rectangle-Finish1-0RawMaterial-Spruce-Pine-Fir-FFFFFF,Part_1FlexDim2Fixed_Gap1D-Finish1-0RawMaterial-Air-FFFFFF,,,,,,,,,,,,,
PRESET,,,,,,,,,,IconHeight,48in,,,,,,,,,,,,,,,,,,,,,
