TYPENAME,,0LayerPattern,,Pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,String,,Name,,Pattern.Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dimension,,,,Pattern.Extents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dimension,,,,Pattern.LayerThickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TRANSFORM,,,,Pattern.SlotLocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TRANSFORM,,,,Pattern.SlotRotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TRANSFORM,,,,Pattern.SlotScale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0
TAGPATHS,DataType=ID,ID,DataType=TG_MyNode+CategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Pattern.Name,DataType=CommentedOut,Pattern.Name,ExtentsX,ExtentsY,ExtentsZ,Pattern.LayerThickness,PatternSlots,SupportedNCPs,SlotLocationX,SlotLocationY,SlotLocationZ,SlotRotationX,SlotRotationY,SlotRotationZ,SlotScaleX,SlotScaleY,SlotScaleZ,DataType=TG_Parent Node+CategoryPath,2Layer0D --> Abstract,2Layer0D --> Mass --> CastInPlaceConcrete,2Layer0D --> Mass --> PrecastConcrete,2Layer0D --> Mass --> CrossLaminatedTimber,2Layer0D --> Mass --> RammedEarth,2Layer0D --> Membrane --> BitumenousFelt,2Layer0D --> Membrane --> TPO,2Layer0D --> Membrane --> PVC,2Layer0D --> Membrane --> PolyethyleneVaporBarrier,2Layer0D --> Membrane --> EPDMRubber,2Layer0D --> Membrane --> RubberizedAsphalt,2Layer0D --> Roll --> Batt,2Layer0D --> Roll --> Carpet,2Layer0D --> Roll --> Cork,2Layer0D --> Roll --> Felt,2Layer0D --> Roll --> Foam,2Layer0D --> Roll --> LathMetal,2Layer0D --> Roll --> PlasticAdhesive,2Layer0D --> Roll --> PlasticUnderlayment,2Layer0D --> Roll --> Wallpaper,2Layer0D --> Sitework --> Gravel,2Layer0D --> Sitework --> Grass,2Layer0D --> Sitework --> DecomposedGranite,2Layer0D --> Sitework --> GeotextileFabric,2Layer0D --> Sitework --> Sand,2Layer0D --> Sitework --> Soil,2Layer0D --> Spread --> Asphalt,2Layer0D --> Spread --> Plaster,2Layer0D --> Spread --> JointCompound,2Layer0D --> Spread --> Paint,2Layer0D --> Spread --> ThinsetCement,2Layer0D --> Spread --> MasticResinMortar,2Layer0D --> Void --> Air,3Layer1D --> Corrugated Deck --> Plastic,3Layer1D --> Corrugated Deck --> Steel,3Layer1D --> Furring --> Steel Hat Channel,3Layer1D --> Furring --> Steel Z Channel,3Layer1D --> Furring --> Wood Strips,3Layer1D --> Joist --> Wood,3Layer1D --> Joist --> Engineered Wood,3Layer1D --> Joist --> Wood Web Joist,"3Layer1D --> Joist --> Wood-Chord, Steel-Web Joist",3Layer1D --> Joist --> Steel Web Joist,3Layer1D --> Stud --> Wood,3Layer1D --> Stud --> Steel C-Channel,3Layer2D --> Board and Panel --> Cement,3Layer2D --> Board and Panel --> Cementitious Wood Fiber,3Layer2D --> Board and Panel --> Insulation,3Layer2D --> Board and Panel --> Gypsum,3Layer2D --> Board and Panel --> MDF (Medium-Density Fiberboard),3Layer2D --> Board and Panel --> Metal,3Layer2D --> Board and Panel --> OSB (Oriented Strand Board),3Layer2D --> Board and Panel --> Particle Board,3Layer2D --> Board and Panel --> Plywood,3Layer2D --> Plank --> Engineered Wood,3Layer2D --> Plank --> Wood,3Layer2D --> Tile --> Brick Veneer,3Layer2D --> Tile --> Carpet,3Layer2D --> Tile --> Clay,3Layer2D --> Tile --> Cork,3Layer2D --> Tile --> Glass,3Layer2D --> Tile --> Laminate,3Layer2D --> Tile --> Luxury Vinyl,3Layer2D --> Tile --> Porcelain,3Layer2D --> Tile --> Stone,3Layer2D --> Tile --> Vinyl Composite,3Layer2D --> Shingle --> Asphalt,3Layer2D --> Shingle --> Clay,3Layer2D --> Shingle --> Metal,3Layer2D --> Shingle --> Stone,3Layer2D --> Shingle --> Wood,3Layer3D --> Clay Brick,3Layer3D --> Earth Brick,3Layer3D --> Concrete Masonry Unit,3Layer3D --> Glass Block
