TYPENAME,,1SlotConfig,,SlotConfig,,,,,,,,,,,,
PRESET,,"1SlotConfig --> Frame
0Slot-FrameSliding
0Slot-AssemblyPanelHung1of2
0Slot-AssemblyPanelHung2of2",,1SlotConfig --> Frame,,Hung (Double),,0Slot-FrameSliding,,,,X,X,X,,
PRESET,,,,,,,,0Slot-AssemblyPanelHung1of2,,,,,,,,
PRESET,,,,,,,,0Slot-AssemblyPanelHung2of2,,,,,,,,
PRESET,,"1SlotConfig --> Frame
0Slot-Frame
0Slot-AssemblyPanelPocket1of1",,1SlotConfig --> Frame,,Pocket (Single),,0Slot-Frame,,,,X,X,X,,
PRESET,,,,,,,,0Slot-AssemblyPanelPocket1of1,,,,,,,,
PRESET,,"1SlotConfig --> Frame
0Slot-Frame
0Slot-AssemblyPanelPocketLeft
0Slot-AssemblyPanelPocketRight",,1SlotConfig --> Frame,,Pocket (Double),,0Slot-Frame,,,,X,X,X,,
PRESET,,,,,,,,0Slot-AssemblyPanelPocketLeft,,,,,,,,
PRESET,,,,,,,,0Slot-AssemblyPanelPocketRight,,,,,,,,
PRESET,,"1SlotConfig --> Frame
0Slot-FrameSliding
0Slot-AssemblyPanelSlidingXO-1
0Slot-AssemblyPanelSlidingXO-2",,1SlotConfig --> Frame,,Sliding (XO),,0Slot-FrameSliding,,,,X,X,X,,
PRESET,,,,,,,,0Slot-AssemblyPanelSlidingXO-1,,,,,,,,
PRESET,,,,,,,,0Slot-AssemblyPanelSlidingXO-2,,,,,,,,
PRESET,,"1SlotConfig --> Frame
0Slot-FrameSliding
0Slot-AssemblyPanelSlidingXXO-1
0Slot-AssemblyPanelSlidingXXO-2",,1SlotConfig --> Frame,,Sliding (XXO),,0Slot-FrameSliding,,,,X,X,X,,
PRESET,,,,,,,,0Slot-AssemblyPanelSlidingXXO-1,,,,,,,,
PRESET,,,,,,,,0Slot-AssemblyPanelSlidingXXO-2,,,,,,,,
PRESET,,,,,,,,0Slot-AssemblyPanelSlidingXXO-3,,,,,,,,
PRESET,,"1SlotConfig --> Frame
0Slot-FrameSliding
0Slot-AssemblyPanelSlidingXOX-1
0Slot-AssemblyPanelSlidingXOX-2",,1SlotConfig --> Frame,,Sliding (XOX),,0Slot-FrameSliding,,,,X,X,X,,
PRESET,,,,,,,,0Slot-AssemblyPanelSlidingXOX-1,,,,,,,,
PRESET,,,,,,,,0Slot-AssemblyPanelSlidingXOX-2,,,,,,,,
PRESET,,,,,,,,0Slot-AssemblyPanelSlidingXOX-3,,,,,,,,
PRESET,,"1SlotConfig --> Frame
0Slot-Frame
0Slot-AssemblyHingeSetLeft
0Slot-AssemblyPanelSwing1of1",,1SlotConfig --> Frame,,Swing / Inset / Casement (Single),,0Slot-Frame,,,,X,X,X,,
PRESET,,,,,,,,0Slot-AssemblyHingeSetLeft,,,,,,,,
