TYPENAME,,2Gap2D,,Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,String,,Name,,Gap.Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,InputExtensibility,,InputPreset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,"2Gap2D --> Mortar Gaps
1Material --> Aggregates --> Mortar-0RawMaterial-Mortar-0Color --> Aggregates --> Mortar-C6C6C6-Natural
0DimWD-0.25inW-0.125inD
0Profile-Flat",,2Gap2D --> Mortar Gaps,,"0.25in x 0.125in, Mortar, Natural",,1Material --> Aggregates --> Mortar-0RawMaterial-Mortar-0Color --> Aggregates --> Mortar-C6C6C6-Natural,0DimWD-0.25inW-0.125inD,0Profile-Flat,,X,,,,,X,,,,X,X,,,,X,X,X,X,X,X,X,X,,,,,,,,,
PRESET,,"2Gap2D --> Mortar Gaps
1Material --> Aggregates --> Mortar-0RawMaterial-Mortar-0Color --> Aggregates --> Mortar-C6C6C6-Natural
0DimWD-0.25inW-0.1875inD
0Profile-Flat",,2Gap2D --> Mortar Gaps,,"0.25in x 0.1875in, Mortar, Natural",,1Material --> Aggregates --> Mortar-0RawMaterial-Mortar-0Color --> Aggregates --> Mortar-C6C6C6-Natural,0DimWD-0.25inW-0.1875inD,0Profile-Flat,,X,,,,,X,,,,X,X,,,,X,X,X,X,X,X,X,X,,,,,,,,,
PRESET,,"2Gap2D --> Mortar Gaps
1Material --> Aggregates --> Mortar-0RawMaterial-Mortar-0Color --> Aggregates --> Mortar-C6C6C6-Natural
0DimWD-0.25inW-0.25inD
0Profile-Flat",,2Gap2D --> Mortar Gaps,,"0.25in x 0.25in, Mortar, Natural",,1Material --> Aggregates --> Mortar-0RawMaterial-Mortar-0Color --> Aggregates --> Mortar-C6C6C6-Natural,0DimWD-0.25inW-0.25inD,0Profile-Flat,,X,,,,,X,,,,X,X,,,,X,X,X,X,X,X,X,X,,,,,,,,,
PRESET,,"2Gap2D --> Mortar Gaps
1Material --> Aggregates --> Mortar-0RawMaterial-Mortar-0Color --> Aggregates --> Mortar-C6C6C6-Natural
0DimWD-0.375inW-0inD
0Profile-Flat",,2Gap2D --> Mortar Gaps,,"0.375in x 0in, Mortar, Natural",,1Material --> Aggregates --> Mortar-0RawMaterial-Mortar-0Color --> Aggregates --> Mortar-C6C6C6-Natural,0DimWD-0.375inW-0inD,0Profile-Flat,,X,,,,,X,,,,X,X,,,,X,X,X,X,X,X,X,X,,,,,,,,,
PRESET,,"2Gap2D --> Grout Gaps
1Material --> Aggregates --> Grout-0RawMaterial-Grout-0Color --> Aggregates --> Grout-EAECE7-White
0DimWD-0.375inW-0inD
0Profile-Flat",,2Gap2D --> Grout Gaps,,"0.375in x 0in, Grout, White",,1Material --> Aggregates --> Grout-0RawMaterial-Grout-0Color --> Aggregates --> Grout-EAECE7-White,0DimWD-0.375inW-0inD,0Profile-Flat,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,X,X,X,X
PRESET,,"2Gap2D --> Grout Gaps
1Material --> Aggregates --> Grout-0RawMaterial-Grout-0Color --> Aggregates --> Grout-EAECE7-White
0DimWD-0.375inW-0.125inD
0Profile-Flat",,2Gap2D --> Grout Gaps,,"0.375in x 0.125in, Grout, White",,1Material --> Aggregates --> Grout-0RawMaterial-Grout-0Color --> Aggregates --> Grout-EAECE7-White,0DimWD-0.375inW-0.125inD,0Profile-Flat,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,X,X,X,X
PRESET,,"2Gap2D --> Grout Gaps
1Material --> Aggregates --> Grout-0RawMaterial-Grout-0Color --> Aggregates --> Grout-EAECE7-White
0DimWD-0.375inW-0.25inD
0Profile-Flat",,2Gap2D --> Grout Gaps,,"0.375in x 0.25in, Grout, White",,1Material --> Aggregates --> Grout-0RawMaterial-Grout-0Color --> Aggregates --> Grout-EAECE7-White,0DimWD-0.375inW-0.25inD,0Profile-Flat,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,X,X,X,X
PRESET,,"2Gap2D --> Grout Gaps
1Material --> Aggregates --> Grout-0RawMaterial-Grout-0Color --> Aggregates --> Grout-EAECE7-White
0DimWD-0.375inW-0.375inD
0Profile-Flat",,2Gap2D --> Grout Gaps,,"0.375in x 0.375in, Grout, White",,1Material --> Aggregates --> Grout-0RawMaterial-Grout-0Color --> Aggregates --> Grout-EAECE7-White,0DimWD-0.375inW-0.375inD,0Profile-Flat,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,X,X,X,X
PRESET,,"2Gap2D --> Metal Gaps
1Material --> Metal --> Aluminum-0RawMaterial-Aluminum-0Color --> Metal --> Aluminum-FFFFFF-PureWhite
0DimWD-0.5625inW-0.25inD
0Profile-Flat",,2Gap2D --> Metal Gaps,,"0.5625in x 0.25in, Aluminum, Pure White",,1Material --> Metal --> Aluminum-0RawMaterial-Aluminum-0Color --> Metal --> Aluminum-FFFFFF-PureWhite,0DimWD-0.5625inW-0.25inD,0Profile-Flat,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
PRESET,,"2Gap2D --> Metal Gaps
1Material --> Metal --> Aluminum-0RawMaterial-Aluminum-0Color --> Metal --> Aluminum-FFFFFF-PureWhite
0DimWD-1inW-0inD
0Profile-Flat",,2Gap2D --> Metal Gaps,,"1in x 0in, Aluminum, Pure White",,1Material --> Metal --> Aluminum-0RawMaterial-Aluminum-0Color --> Metal --> Aluminum-FFFFFF-PureWhite,0DimWD-1inW-0inD,0Profile-Flat,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
PRESET,,"2Gap2D --> Metal Gaps
1Material --> Metal --> Aluminum-0RawMaterial-Aluminum-0Color --> Metal --> Aluminum-FFFFFF-PureWhite
0DimWD-1.5inW-0inD
0Profile-Flat",,2Gap2D --> Metal Gaps,,"1.5in x 0in, Aluminum, Pure White",,1Material --> Metal --> Aluminum-0RawMaterial-Aluminum-0Color --> Metal --> Aluminum-FFFFFF-PureWhite,0DimWD-1.5inW-0inD,0Profile-Flat,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
