TYPENAME,,PartNonMesh,,Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Assembly.Name,,,,,,,,,,,,,,,,,,,,,,,,
,,InputExtensibility,,InputPreset,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildMaterial,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimension,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimWD,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimLW,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimThk,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimLWH,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildProfile,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=ID,ID,DataType=TG_MyNode+CategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Assembly.Name,DataType=StartsInProject,x,DataType=Dimensions,Dimension,Value,UI Group,DataType=Profile,Module.Profile,DataType=Material,AppliesToChannel,InnerMaterial,SurfaceMaterial,ColorTintVariation,ColorTint,DataType=InputPins,ChildMaterial,ChildDimension,ChildDimWD,ChildDimLW,ChildDimThk,ChildDimLWH,ChildProfile,DataType=TG_Parent Node+CategoryPath,TG_ParentNode+CategoryPath
PRESET,,"Part_ExtrudedProfile_BeamColumn_SteelL-Width-4in-Depth-12in-WebThickness-0.28in-FlangeThickness-0.28in-0Profile-Angle, L-Finish1-0RawMaterial-Steel---FFFFFF",,Part_ExtrudedProfile_BeamColumn_SteelL,,"HSS12X4X5/8, Steel, Untinted",,X,,Width,4in,Major,,"0Profile-Angle, L",,Finish1,0RawMaterial-Steel,-,0,FFFFFF,,1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted,0DimWDT_HSS-4inW-12inD-0.581inT,,,,,"0Profile-Hollow Structural Section, HSS",,
PRESET,,,,,,,,,,Depth,12in,Major,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,,,,WebThickness,0.28in,Minor,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,,,,FlangeThickness,0.28in,Minor,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,,,,IconLength,48in,Preview,,,,,,,,,,,,,,,,,,
PRESET,,Part_ExtrudedProfile_BeamColumn_SteelTube-Diameter-4.5in-Thickness-0.337in-0Profile-Tube Steel-Finish1-0RawMaterial-Steel---FFFFFF,,Part_ExtrudedProfile_BeamColumn_SteelTube,,"D4X0.337, Steel, Untinted",,X,,Diameter,4.5in,Major,,0Profile-Tube Steel,,Finish1,0RawMaterial-Steel,-,0,FFFFFF,,1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted,0DimDiT-4.5inDi-0.337inT,,,,,0Profile-Tube Steel,,
PRESET,,,,,,,,,,Thickness,0.337in,Minor,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,,,,IconLength,48in,Preview,,,,,,,,,,,,,,,,,,
PRESET,,"Part_ExtrudedProfile_BeamColumn_SteelW-Width-11.2in-Depth-19.5in-WebThickness-1.32in-FlangeThickness-0.73in-0Profile-Wide Flange, W-Finish1-0RawMaterial-Steel---FFFFFF",,Part_ExtrudedProfile_BeamColumn_SteelW,,"W18X143, Steel, Untinted",,X,,Width,11.2in,Major,,"0Profile-Wide Flange, W",,Finish1,0RawMaterial-Steel,-,0,FFFFFF,,1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted,0DimWDWtFt_WideFlangeSteel-11.2inW-19.5inD-1.32inWt-0.73inFt,,,,,"0Profile-Wide Flange, W",,
PRESET,,,,,,,,,,Depth,19.5in,Major,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,,,,WebThickness,1.32in,Minor,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,,,,FlangeThickness,0.73in,Minor,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,,,,IconLength,48in,Preview,,,,,,,,,,,,,,,,,,
