TYPENAME,,0Color,,Color,,,,
,,Definition,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,
PROPERTY,,DisplayText,,Name,,Color.Name,,
PROPERTY,,HexValue,,,,Color.HEXValue,,
,,Presets,,,,,,
TAGPATHS,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Color.Name,Color.HEXValue,
PRESET,,0Color_Metal_Aluminum-526D4A-Patina,,0Color_Metal_Aluminum,,Patina,526D4A,
PRESET,,0Color_Metal_Aluminum-1F4D29-Olive,,0Color_Metal_Aluminum,,Olive,1F4D29,
PRESET,,0Color_Metal_Aluminum-005337-SeaGreen,,0Color_Metal_Aluminum,,Sea Green,005337,
PRESET,,0Color_Metal_Aluminum-003A21-Jungle,,0Color_Metal_Aluminum,,Jungle,003A21,
PRESET,,0Color_Metal_Aluminum-013119-Forest,,0Color_Metal_Aluminum,,Forest,013119,
PRESET,,0Color_Metal_Aluminum-00280D-Edwardian,,0Color_Metal_Aluminum,,Edwardian,00280D,
PRESET,,0Color_Metal_Aluminum-4AA7B9-Aqua,,0Color_Metal_Aluminum,,Aqua,4AA7B9,
PRESET,,0Color_Metal_Aluminum-0084AB-Harbor,,0Color_Metal_Aluminum,,Harbor,0084AB,
PRESET,,0Color_Metal_Aluminum-657189-Legacy,,0Color_Metal_Aluminum,,Legacy,657189,
PRESET,,0Color_Metal_Aluminum-316A7D-Military,,0Color_Metal_Aluminum,,Military,316A7D,
PRESET,,0Color_Metal_Aluminum-234C5E-Wedge,,0Color_Metal_Aluminum,,Wedge,234C5E,
PRESET,,0Color_Metal_Aluminum-00384F-Royal,,0Color_Metal_Aluminum,,Royal,00384F,
PRESET,,0Color_Metal_Aluminum-54111A-Brandy,,0Color_Metal_Aluminum,,Brandy,54111A,
PRESET,,0Color_Metal_Aluminum-781F25-Rust,,0Color_Metal_Aluminum,,Rust,781F25,
PRESET,,0Color_Metal_Aluminum-F02C44-ColonialRed,,0Color_Metal_Aluminum,,Colonial Red,F02C44,
PRESET,,0Color_Metal_Aluminum-A23933-Brick,,0Color_Metal_Aluminum,,Brick,A23933,
PRESET,,0Color_Metal_Aluminum-D35153-Somel,,0Color_Metal_Aluminum,,Somel,D35153,
PRESET,,0Color_Metal_Aluminum-D56A62-Hazel,,0Color_Metal_Aluminum,,Hazel,D56A62,
PRESET,,0Color_Metal_Aluminum-FF896B-Rose,,0Color_Metal_Aluminum,,Rose,FF896B,
PRESET,,0Color_Metal_Aluminum-8F9092-DarkGray,,0Color_Metal_Aluminum,,Dark Gray,8F9092,
PRESET,,0Color_Metal_Aluminum-F7D400-Yellow,,0Color_Metal_Aluminum,,Yellow,F7D400,
PRESET,,0Color_Metal_Aluminum-414141-NearBlack,,0Color_Metal_Aluminum,,Near Black,414141,
PRESET,,0Color_Metal_Aluminum-2A2A2A-Black,,0Color_Metal_Aluminum,,Black,2A2A2A,
PRESET,,0Color_Metal_Chrome-FFFFFF-Untinted,,0Color_Metal_Chrome,,Untinted,FFFFFF,
PRESET,,0Color_Metal_Chrome-CCCCCC-Dark,,0Color_Metal_Chrome,,Dark,CCCCCC,
PRESET,,0Color_Metal_Copper-C17244-Natural,,0Color_Metal_Copper,,Natural,C17244,
PRESET,,0Color_Metal_Iron-FFFFFF-Untinted,,0Color_Metal_Iron,,Untinted,FFFFFF,
PRESET,,0Color_Metal_Iron-CCCCCC-Dark,,0Color_Metal_Iron,,Dark,CCCCCC,
PRESET,,0Color_Metal_Nickel-FFFFFF-Untinted,,0Color_Metal_Nickel,,Untinted,FFFFFF,
PRESET,,0Color_Metal_Nickel-CCCCCC-Dark,,0Color_Metal_Nickel,,Dark,CCCCCC,
PRESET,,0Color_Metal_Steel-FFFFFF-Untinted,,0Color_Metal_Steel,,Untinted,FFFFFF,
PRESET,,0Color_Metal_Steel-EAEAEA-Gray1,,0Color_Metal_Steel,,Gray 1,EAEAEA,
PRESET,,0Color_Metal_Steel-D5D5D5-Gray2,,0Color_Metal_Steel,,Gray 2,D5D5D5,
PRESET,,0Color_Metal_Steel-C0C0C0-Gray3,,0Color_Metal_Steel,,Gray 3,C0C0C0,
PRESET,,0Color_Metal_Steel-ABABAB-Gray4,,0Color_Metal_Steel,,Gray 4,ABABAB,
PRESET,,0Color_Metal_Steel-959595-Gray5,,0Color_Metal_Steel,,Gray 5,959595,
PRESET,,0Color_Metal_Steel-6B6B6B-Gray6,,0Color_Metal_Steel,,Gray 6,6B6B6B,
PRESET,,0Color_Metal_Steel-555555-Gray7,,0Color_Metal_Steel,,Gray 7,555555,
PRESET,,0Color_Metal_Steel-404040-Gray8,,0Color_Metal_Steel,,Gray 8,404040,
PRESET,,0Color_Metal_Steel-2B2B2B-Gray9,,0Color_Metal_Steel,,Gray 9,2B2B2B,
PRESET,,0Color_Metal_Steel-151515-Gray10,,0Color_Metal_Steel,,Gray 10,151515,
PRESET,,0Color_Metal_Steel-000000-Black,,0Color_Metal_Steel,,Black,000000,
PRESET,,0Color_Metal_Tin-FFFFFF-White,,0Color_Metal_Tin,,White,FFFFFF,
PRESET,,0Color_Metal_Tin-CCCCCC-Dark,,0Color_Metal_Tin,,Dark,CCCCCC,
PRESET,,0Color_Metal_Zinc-FFFFFF-White,,0Color_Metal_Zinc,,White,FFFFFF,
PRESET,,0Color_Metal_Zinc-CCCCCC-LightGrey,,0Color_Metal_Zinc,,Light Grey,CCCCCC,
PRESET,,0Color_Metal_Zinc-37383A-CoolDarkGrey,,0Color_Metal_Zinc,,Cool Dark Grey,37383A,
PRESET,,0Color_Spread_Paint-F3F1ED-GentleWhite,,0Color_Spread_Paint,,Gentle White,F3F1ED,
PRESET,,0Color_Spread_Paint-DFE2E7-CoolLightGrey,,0Color_Spread_Paint,,Cool Light Grey,DFE2E7,
PRESET,,0Color_Spread_Paint-C4C4C4-Grey,,0Color_Spread_Paint,,Grey,C4C4C4,
PRESET,,0Color_Spread_Paint-ABABAB-DarkGrey,,0Color_Spread_Paint,,Dark Grey,ABABAB,
PRESET,,0Color_Spread_Paint-F5D9CC-Peach,,0Color_Spread_Paint,,Peach,F5D9CC,
PRESET,,0Color_Spread_Paint-D9A788-DesertTan,,0Color_Spread_Paint,,Desert Tan,D9A788,
PRESET,,0Color_Spread_Paint-F4D5AB-Apricot,,0Color_Spread_Paint,,Apricot,F4D5AB,
PRESET,,0Color_Spread_Paint-D0CD95-Thyme,,0Color_Spread_Paint,,Thyme,D0CD95,
PRESET,,0Color_Spread_Paint-8DA8A1-Jade,,0Color_Spread_Paint,,Jade,8DA8A1,
PRESET,,0Color_Spread_Paint-95D0D2-Aquamarine,,0Color_Spread_Paint,,Aquamarine,95D0D2,
PRESET,,0Color_Spread_Paint-5A7491-PostalBlue,,0Color_Spread_Paint,,Postal Blue,5A7491,
PRESET,,0Color_Spread_Paint-364155-DeepNavy,,0Color_Spread_Paint,,Deep Navy,364155,
PRESET,,0Color_Spread_Paint-1C2F68-RoyalBlue,,0Color_Spread_Paint,,Royal Blue,1C2F68,
PRESET,,0Color_Spread_Paint-A7A3B2-DustyLavender,,0Color_Spread_Paint,,Dusty Lavender,A7A3B2,
PRESET,,0Color_Spread_Paint-754342-Burgundy,,0Color_Spread_Paint,,Burgundy,754342,
PRESET,,0Color_Spread_Paint-262527-Midnight,,0Color_Spread_Paint,,Midnight,262527,
PRESET,,0Color_Spread_Plaster-F7EBDB-Shell,,0Color_Spread_Plaster,,Shell,F7EBDB,
PRESET,,0Color_Spread_Plaster-F8F8F6-Pearl,,0Color_Spread_Plaster,,Pearl,F8F8F6,
PRESET,,0Color_Spread_Plaster-B4B4B2-Raw,,0Color_Spread_Plaster,,Raw,B4B4B2,
PRESET,,0Color_Spread_Plaster-FAF1D0-Champagne,,0Color_Spread_Plaster,,Champagne,FAF1D0,
PRESET,,0Color_Spread_Plaster-CBBDA2-Tan,,0Color_Spread_Plaster,,Tan,CBBDA2,
PRESET,,0Color_Spread_Plaster-E5CAAD-Coral,,0Color_Spread_Plaster,,Coral,E5CAAD,
PRESET,,0Color_Spread_Plaster-B5B5B7-MediumGray,,0Color_Spread_Plaster,,Medium Gray,B5B5B7,
PRESET,,0Color_Spread_Plaster-92918D-DarkGray,,0Color_Spread_Plaster,,Dark Gray,92918D,
PRESET,,0Color_Spread_Plaster-DDCBA7-Wheat,,0Color_Spread_Plaster,,Wheat,DDCBA7,
PRESET,,0Color_Spread_Plaster-EBD5AC-Palomino,,0Color_Spread_Plaster,,Palomino,EBD5AC,
PRESET,,0Color_Spread_Plaster-B3AF8C-Olive,,0Color_Spread_Plaster,,Olive,B3AF8C,
PRESET,,0Color_Spread_Plaster-B4BBC1-Twilight,,0Color_Spread_Plaster,,Twilight,B4BBC1,
PRESET,,0Color_Spread_Plaster-A2AFB8-Blue,,0Color_Spread_Plaster,,Blue,A2AFB8,
PRESET,,0Color_Spread_Plaster-D0B4A8-Rose,,0Color_Spread_Plaster,,Rose,D0B4A8,
PRESET,,0Color_Synthetic and Polymer_Foam - Extruded Polystyrene-FAFAFA-White,,0Color_Synthetic and Polymer_Foam - Extruded Polystyrene,,White,FAFAFA,
PRESET,,0Color_Synthetic and Polymer_Foam - Extruded Polystyrene-ECB9BE-Pink,,0Color_Synthetic and Polymer_Foam - Extruded Polystyrene,,Pink,ECB9BE,
PRESET,,0Color_Synthetic and Polymer_Foam - Extruded Polystyrene-CFDEE4-Blue,,0Color_Synthetic and Polymer_Foam - Extruded Polystyrene,,Blue,CFDEE4,
PRESET,,0Color_Synthetic and Polymer_Foam - Extruded Polystyrene-FAF1D0-Yellow,,0Color_Synthetic and Polymer_Foam - Extruded Polystyrene,,Yellow,FAF1D0,
PRESET,,0Color_Synthetic and Polymer_Foam - Polyethylene-FAFAFA-White,,0Color_Synthetic and Polymer_Foam - Polyethylene,,White,FAFAFA,
PRESET,,0Color_Synthetic and Polymer_Foam - Polyethylene-ECB9BE-Pink,,0Color_Synthetic and Polymer_Foam - Polyethylene,,Pink,ECB9BE,
PRESET,,0Color_Synthetic and Polymer_Foam - Polyethylene-CFDEE4-Blue,,0Color_Synthetic and Polymer_Foam - Polyethylene,,Blue,CFDEE4,
PRESET,,0Color_Synthetic and Polymer_Foam - Polyethylene-FAF1D0-Yellow,,0Color_Synthetic and Polymer_Foam - Polyethylene,,Yellow,FAF1D0,
PRESET,,0Color_Synthetic and Polymer_Foam - Polyisocyanurate-FAFAFA-White,,0Color_Synthetic and Polymer_Foam - Polyisocyanurate,,White,FAFAFA,
PRESET,,0Color_Synthetic and Polymer_Foam - Polyisocyanurate-ECB9BE-Pink,,0Color_Synthetic and Polymer_Foam - Polyisocyanurate,,Pink,ECB9BE,
PRESET,,0Color_Synthetic and Polymer_Foam - Polyisocyanurate-CFDEE4-Blue,,0Color_Synthetic and Polymer_Foam - Polyisocyanurate,,Blue,CFDEE4,
PRESET,,0Color_Synthetic and Polymer_Foam - Polyisocyanurate-FAF1D0-Yellow,,0Color_Synthetic and Polymer_Foam - Polyisocyanurate,,Yellow,FAF1D0,
PRESET,,0Color_Synthetic and Polymer_Plastic-FFFFFF-White,,0Color_Synthetic and Polymer_Plastic,,White,FFFFFF,
PRESET,,0Color_Synthetic and Polymer_Plastic-CCCCCC-LightGray,,0Color_Synthetic and Polymer_Plastic,,Light Gray,CCCCCC,
PRESET,,0Color_Synthetic and Polymer_Rubber-FFFFFF-White,,0Color_Synthetic and Polymer_Rubber,,White,FFFFFF,
PRESET,,0Color_Synthetic and Polymer_Rubber-CCCCCC-LightGray,,0Color_Synthetic and Polymer_Rubber,,Light Gray,CCCCCC,
PRESET,,0Color_Synthetic and Polymer_Vinyl Composite-FFFFFF-White,,0Color_Synthetic and Polymer_Vinyl Composite,,White,FFFFFF,
PRESET,,0Color_Synthetic and Polymer_Vinyl Composite-CCCCCC-LightGray,,0Color_Synthetic and Polymer_Vinyl Composite,,Light Gray,CCCCCC,
PRESET,,0Color_Stone_Alabaster-FFFFFF-White,,0Color_Stone_Alabaster,,White,FFFFFF,
PRESET,,0Color_Stone_Basalt-FFFFFF-White,,0Color_Stone_Basalt,,White,FFFFFF,
PRESET,,0Color_Stone_Granite-FFFFFF-White,,0Color_Stone_Granite,,White,FFFFFF,
PRESET,,0Color_Stone_Lava Stone-FFFFFF-White,,0Color_Stone_Lava Stone,,White,FFFFFF,
PRESET,,0Color_Stone_Limestone-FFFFFF-White,,0Color_Stone_Limestone,,White,FFFFFF,
PRESET,,0Color_Stone_Marble-FFFFFF-White,,0Color_Stone_Marble,,White,FFFFFF,
PRESET,,0Color_Stone_Onyx-FFFFFF-White,,0Color_Stone_Onyx,,White,FFFFFF,
PRESET,,0Color_Stone_Quartzite-FFFFFF-White,,0Color_Stone_Quartzite,,White,FFFFFF,
PRESET,,0Color_Stone_Sandstone-FFFFFF-White,,0Color_Stone_Sandstone,,White,FFFFFF,
PRESET,,0Color_Stone_Slate-FFFFFF-White,,0Color_Stone_Slate,,White,FFFFFF,
PRESET,,0Color_Stone_Slate-EAEAEA-Gray1,,0Color_Stone_Slate,,Gray 1,EAEAEA,
PRESET,,0Color_Stone_Slate-D5D5D5-Gray2,,0Color_Stone_Slate,,Gray 2,D5D5D5,
PRESET,,0Color_Stone_Slate-C0C0C0-Gray3,,0Color_Stone_Slate,,Gray 3,C0C0C0,
PRESET,,0Color_Stone_Slate-ABABAB-Gray4,,0Color_Stone_Slate,,Gray 4,ABABAB,
PRESET,,0Color_Stone_Slate-959595-Gray5,,0Color_Stone_Slate,,Gray 5,959595,
PRESET,,0Color_Stone_Slate-6B6B6B-Gray6,,0Color_Stone_Slate,,Gray 6,6B6B6B,
PRESET,,0Color_Stone_Slate-555555-Gray7,,0Color_Stone_Slate,,Gray 7,555555,
PRESET,,0Color_Stone_Slate-404040-Gray8,,0Color_Stone_Slate,,Gray 8,404040,
PRESET,,0Color_Stone_Slate-2B2B2B-Gray9,,0Color_Stone_Slate,,Gray 9,2B2B2B,
PRESET,,0Color_Stone_Slate-151515-Gray10,,0Color_Stone_Slate,,Gray 10,151515,
PRESET,,0Color_Stone_Slate-000000-Black,,0Color_Stone_Slate,,Black,000000,
PRESET,,0Color_Stone_Soapstone-FFFFFF-White,,0Color_Stone_Soapstone,,White,FFFFFF,
PRESET,,0Color_Stone_Travertine-FFFFFF-White,,0Color_Stone_Travertine,,White,FFFFFF,
PRESET,,0Color_Wood_Ash-FFFFFF-Natural,,0Color_Wood_Ash,,Natural,FFFFFF,
PRESET,,0Color_Wood_Bamboo-FFFFFF-Natural,,0Color_Wood_Bamboo,,Natural,FFFFFF,
PRESET,,0Color_Wood_Beech-FFFFFF-Natural,,0Color_Wood_Beech,,Natural,FFFFFF,
PRESET,,0Color_Wood_Birch-FFFFFF-Natural,,0Color_Wood_Birch,,Natural,FFFFFF,
PRESET,,0Color_Wood_Cedar - Western Red-FFFFFF-Natural,,0Color_Wood_Cedar - Western Red,,Natural,FFFFFF,
PRESET,,0Color_Wood_Cedar - White-FFFFFF-Natural,,0Color_Wood_Cedar - White,,Natural,FFFFFF,
PRESET,,0Color_Wood_Cedar - White-2B2B2B-Black,,0Color_Wood_Cedar - White,,Black,2B2B2B,
PRESET,,0Color_Wood_Cherry-FFFFFF-Natural,,0Color_Wood_Cherry,,Natural,FFFFFF,
PRESET,,0Color_Wood_Cypress - Bald-FFFFFF-Natural,,0Color_Wood_Cypress - Bald,,Natural,FFFFFF,
PRESET,,0Color_Wood_Ipe-FFFFFF-Natural,,0Color_Wood_Ipe,,Natural,FFFFFF,
PRESET,,0Color_Wood_Mahogany-FFFFFF-Natural,,0Color_Wood_Mahogany,,Natural,FFFFFF,
PRESET,,0Color_Wood_Maple-FFFFFF-Natural,,0Color_Wood_Maple,,Natural,FFFFFF,
PRESET,,0Color_Wood_Oak - Red-FFFFFF-Natural,,0Color_Wood_Oak - Red,,Natural,FFFFFF,
PRESET,,0Color_Wood_Oak - White-FFFFFF-Natural,,0Color_Wood_Oak - White,,Natural,FFFFFF,
PRESET,,0Color_Wood_Redwood-FFFFFF-Natural,,0Color_Wood_Redwood,,Natural,FFFFFF,
PRESET,,0Color_Wood_Spruce-Pine-Fir-FFFFFF-Natural,,0Color_Wood_Spruce-Pine-Fir,,Natural,FFFFFF,
PRESET,,0Color_Wood_Sycamore-FFFFFF-Natural,,0Color_Wood_Sycamore,,Natural,FFFFFF,
PRESET,,0Color_Wood_Teak-FFFFFF-Natural,,0Color_Wood_Teak,,Natural,FFFFFF,
PRESET,,0Color_Wood_Walnut-FFFFFF-Natural,,0Color_Wood_Walnut,,Natural,FFFFFF,
PRESET,,0Color_Fibrous_Cork-FFFFFF-Natural,,0Color_Fibrous_Cork,,Natural,FFFFFF,
PRESET,,0Color_Fibrous_Cork-D0C6BD-Cream1,,0Color_Fibrous_Cork,,Cream 1,D0C6BD,
PRESET,,0Color_Fibrous_Cork-BF945F-Saddle,,0Color_Fibrous_Cork,,Saddle,BF945F,
PRESET,,0Color_Fibrous_Cork-A99978-Parchment,,0Color_Fibrous_Cork,,Parchment,A99978,
PRESET,,0Color_Fibrous_Cork-88543F-Copper,,0Color_Fibrous_Cork,,Copper,88543F,
PRESET,,0Color_Fibrous_Cork-464F3C-OliveGreen,,0Color_Fibrous_Cork,,Olive Green,464F3C,
PRESET,,0Color_Fibrous_Cork-7A878F-SilverBlue,,0Color_Fibrous_Cork,,Silver Blue,7A878F,
PRESET,,0Color_Fibrous_Cork-38485F-OrderlyBlue,,0Color_Fibrous_Cork,,Orderly Blue,38485F,
PRESET,,0Color_Fibrous_Cork-3C3B40-Ink,,0Color_Fibrous_Cork,,Ink,3C3B40,
PRESET,,0Color_Fibrous_Cork-534E4A-Charcoal,,0Color_Fibrous_Cork,,Charcoal,534E4A,
PRESET,,0Color_Fibrous_Cementitious Wood Fiber-FFFFFF-White,,0Color_Fibrous_Cementitious Wood Fiber,,White,FFFFFF,
PRESET,,0Color_Fibrous_Cementitious Wood Fiber-D0C6BD-Cream1,,0Color_Fibrous_Cementitious Wood Fiber,,Cream 1,D0C6BD,
PRESET,,0Color_Fibrous_Cementitious Wood Fiber-BF945F-Saddle,,0Color_Fibrous_Cementitious Wood Fiber,,Saddle,BF945F,
PRESET,,0Color_Fibrous_Cementitious Wood Fiber-A99978-Parchment,,0Color_Fibrous_Cementitious Wood Fiber,,Parchment,A99978,
PRESET,,0Color_Fibrous_Cementitious Wood Fiber-88543F-Copper,,0Color_Fibrous_Cementitious Wood Fiber,,Copper,88543F,
PRESET,,0Color_Fibrous_Cementitious Wood Fiber-464F3C-OliveGreen,,0Color_Fibrous_Cementitious Wood Fiber,,Olive Green,464F3C,
PRESET,,0Color_Fibrous_Cementitious Wood Fiber-7A878F-SilverBlue,,0Color_Fibrous_Cementitious Wood Fiber,,Silver Blue,7A878F,
PRESET,,0Color_Fibrous_Cementitious Wood Fiber-38485F-OrderlyBlue,,0Color_Fibrous_Cementitious Wood Fiber,,Orderly Blue,38485F,
PRESET,,0Color_Fibrous_Cementitious Wood Fiber-3C3B40-Ink,,0Color_Fibrous_Cementitious Wood Fiber,,Ink,3C3B40,
PRESET,,0Color_Fibrous_Cementitious Wood Fiber-534E4A-Charcoal,,0Color_Fibrous_Cementitious Wood Fiber,,Charcoal,534E4A,
PRESET,,0Color_Fibrous_Mineral Fiber-FFFFFF-Natural,,0Color_Fibrous_Mineral Fiber,,Natural,FFFFFF,
PRESET,,0Color_Fibrous_Plywood-FFFFFF-Natural,,0Color_Fibrous_Plywood,,Natural,FFFFFF,
PRESET,,0Color_Fibrous_Wood Fibers-FFFFFF-Natural,,0Color_Fibrous_Wood Fibers,,Natural,FFFFFF,
PRESET,,0Color_Fibrous_Wood Particles-FFFFFF-Natural,,0Color_Fibrous_Wood Particles,,Natural,FFFFFF,
PRESET,,0Color_Fibrous_Wood Strands-FFFFFF-Natural,,0Color_Fibrous_Wood Strands,,Natural,FFFFFF,
PRESET,,0Color_Sitework_Grass-FFFFFF-Natural,,0Color_Sitework_Grass,,Natural,FFFFFF,
PRESET,,0Color_Sitework_Moss-FFFFFF-Natural,,0Color_Sitework_Moss,,Natural,FFFFFF,
PRESET,,0Color_Sitework_Soil-FFFFFF-Natural,,0Color_Sitework_Soil,,Natural,FFFFFF,
