TYPENAME,,0Color,,Color,,,,
,,Definition,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,
PROPERTY,,DisplayText,,Name,,Color.Name,,
PROPERTY,,HexValue,,,,Color.HEXValue,,
,,Presets,,,,,,
TAGPATHS,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Color.Name,Color.HEXValue,
PRESET,,0Color_Aggregates_Concrete-8F9AA0-Ocean,,0Color_Aggregates_Concrete,,Ocean,8F9AA0,
PRESET,,0Color_Aggregates_Concrete-9F7D7B-Cabernet,,0Color_Aggregates_Concrete,,Cabernet,9F7D7B,
PRESET,,0Color_Aggregates_Decomposed Granite-FFFFFF-White,,0Color_Aggregates_Decomposed Granite,,White,FFFFFF,
PRESET,,0Color_Aggregates_Decomposed Granite-CCCCCC-LightGray,,0Color_Aggregates_Decomposed Granite,,Light Gray,CCCCCC,
PRESET,,0Color_Aggregates_Fiber-Cement-DFE2E7-CoolLightGrey,,0Color_Aggregates_Fiber-Cement,,Cool Light Grey,DFE2E7,
PRESET,,0Color_Aggregates_Fiber-Cement-D2D2D0-Salt,,0Color_Aggregates_Fiber-Cement,,Salt,D2D2D0,
PRESET,,0Color_Aggregates_Fiber-Cement-BCB3A0-Blonde,,0Color_Aggregates_Fiber-Cement,,Blonde,BCB3A0,
PRESET,,0Color_Aggregates_Fiber-Cement-A19483-Cappucino,,0Color_Aggregates_Fiber-Cement,,Cappucino,A19483,
PRESET,,0Color_Aggregates_Fiber-Cement-685F4D-Earth,,0Color_Aggregates_Fiber-Cement,,Earth,685F4D,
PRESET,,0Color_Aggregates_Fiber-Cement-999A6D-HeatheredMoss,,0Color_Aggregates_Fiber-Cement,,Heathered Moss,999A6D,
PRESET,,0Color_Aggregates_Fiber-Cement-5E6247-ForestGreen,,0Color_Aggregates_Fiber-Cement,,Forest Green,5E6247,
PRESET,,0Color_Aggregates_Fiber-Cement-677B86-SteelyBlue,,0Color_Aggregates_Fiber-Cement,,Steely Blue,677B86,
PRESET,,0Color_Aggregates_Fiber-Cement-435259-Blue,,0Color_Aggregates_Fiber-Cement,,Blue,435259,
PRESET,,0Color_Aggregates_Fiber-Cement-692D2E-VeryRed,,0Color_Aggregates_Fiber-Cement,,Very Red,692D2E,
PRESET,,0Color_Aggregates_Fiber-Cement-714B2B-Caramel,,0Color_Aggregates_Fiber-Cement,,Caramel,714B2B,
PRESET,,0Color_Aggregates_Gravel-FFFFFF-White,,0Color_Aggregates_Gravel,,White,FFFFFF,
PRESET,,0Color_Aggregates_Gravel-CCCCCC-LightGray,,0Color_Aggregates_Gravel,,Light Gray,CCCCCC,
PRESET,,0Color_Aggregates_Grout-EAECE7-White,,0Color_Aggregates_Grout,,White,EAECE7,
PRESET,,0Color_Aggregates_Grout-D0C6BD-Cream2,,0Color_Aggregates_Grout,,Cream 2,D0C6BD,
PRESET,,0Color_Aggregates_Grout-C8C8C6-WarmGrey,,0Color_Aggregates_Grout,,Warm Grey,C8C8C6,
