TYPENAME,,Assembly_3FlexDims0Fixed_Prismic_Cabinet_Floor,,Assembly,,,,,,,,,,,,,,,,,
PRESET,,D09F5C89-C2F8-494E-9F09-18C326A50921,,"Assembly_3FlexDims0Fixed_Prismic_Cabinet_Floor
Assembly_2FlexDims1Fixed_PlanarRig_CabinetFace
Property_Spatiality_Rig_SlotConfig_2FlexDims_Portal_Overlay-Property_Spatiality_Slot-Frame-Property_Spatiality_Slot-AssemblyPanelOverlay2Vertical1-Property_Spatiality_Slot-AssemblyPanelOverlay2Vertical2
Property_Spatiality_Slot-Frame
Part_2FlexDims1Fixed_Frame-Property_Spatiality_Mesh_Frame-Cabinet-Frame-Framed-01.Cabinet-Frame-Framed-01'-Finish1-0RawMaterial-Plywood-0RawMaterial-Walnut-FFFFFF-1138C284-4C6C-0A4E-8B0D-FFF87A5275DA
Property_Spatiality_Slot-AssemblyPanelOverlay2Vertical1
Assembly_2FlexDims1Fixed_PlanarRig_Panel_Cabinet
Property_Spatiality_Rig_SlotConfig_2FlexDims_Panel_Cabinet-Property_Spatiality_Slot-Panel-Property_Spatiality_Slot-RollerBarnLeft-Property_Spatiality_Slot-RollerBarnRight-Property_Spatiality_Slot-HandleCenterTop-Property_Spatiality_Slot-HandleCenterMidHeight-Property_Spatiality_Slot-HandleCenterBottom-Property_Spatiality_Slot-HandleRightTop-Property_Spatiality_Slot-HandleRightMidHeight-Property_Spatiality_Slot-HandleRightBottom-Property_Spatiality_Slot-AssemblyMuntinSet1
Property_Spatiality_Slot-Panel
Part_2FlexDims1Fixed_Panel_Cabinet-Property_Spatiality_Mesh_Panel_Cabinet-Cabinet-Panel-01.Cabinet-Panel-01'-Finish1-0RawMaterial-Walnut-FFFFFF-7172D565-9965-0B49-92A2-4F121CADE148
Property_Spatiality_Slot-HandleCenterMidHeight
Part_0FlexDims3Fixed_HandleStatic_Pull_Cabinet-Property_Spatiality_Mesh_HandleStatic_Pull_Cabinet-Cabinet-Handle-Pull-06.Cabinet-Handle-Pull-06'-Finish1-0RawMaterial-Aluminum-331F20-B0833FCD-C935-A441-A707-4AA71CFA8858
0DE7E3A2-2EA0-F94D-B178-EDC644368366
2048E1BB-0D38-F648-8455-5EBBC6070D0A",,Assembly_3FlexDims0Fixed_Prismic_Cabinet_Floor,,Two Drawers,,ToeKickDepth,4in,,Finish1,0RawMaterial-Walnut,,0,FFFFFF,,X,,"Assembly_2FlexDims1Fixed_PlanarRig_CabinetFace
Property_Spatiality_Rig_SlotConfig_2FlexDims_Portal_Overlay-Property_Spatiality_Slot-Frame-Property_Spatiality_Slot-AssemblyPanelOverlay2Vertical1-Property_Spatiality_Slot-AssemblyPanelOverlay2Vertical2
Property_Spatiality_Slot-Frame
Part_2FlexDims1Fixed_Frame-Property_Spatiality_Mesh_Frame-Cabinet-Frame-Framed-01.Cabinet-Frame-Framed-01'-Finish1-0RawMaterial-Plywood-0RawMaterial-Walnut-FFFFFF-1138C284-4C6C-0A4E-8B0D-FFF87A5275DA
Property_Spatiality_Slot-AssemblyPanelOverlay2Vertical1
Assembly_2FlexDims1Fixed_PlanarRig_Panel_Cabinet
Property_Spatiality_Rig_SlotConfig_2FlexDims_Panel_Cabinet-Property_Spatiality_Slot-Panel-Property_Spatiality_Slot-RollerBarnLeft-Property_Spatiality_Slot-RollerBarnRight-Property_Spatiality_Slot-HandleCenterTop-Property_Spatiality_Slot-HandleCenterMidHeight-Property_Spatiality_Slot-HandleCenterBottom-Property_Spatiality_Slot-HandleRightTop-Property_Spatiality_Slot-HandleRightMidHeight-Property_Spatiality_Slot-HandleRightBottom-Property_Spatiality_Slot-AssemblyMuntinSet1
Property_Spatiality_Slot-Panel
Part_2FlexDims1Fixed_Panel_Cabinet-Property_Spatiality_Mesh_Panel_Cabinet-Cabinet-Panel-01.Cabinet-Panel-01'-Finish1-0RawMaterial-Walnut-FFFFFF-7172D565-9965-0B49-92A2-4F121CADE148
Property_Spatiality_Slot-HandleCenterMidHeight
Part_0FlexDims3Fixed_HandleStatic_Pull_Cabinet-Property_Spatiality_Mesh_HandleStatic_Pull_Cabinet-Cabinet-Handle-Pull-06.Cabinet-Handle-Pull-06'-Finish1-0RawMaterial-Aluminum-331F20-B0833FCD-C935-A441-A707-4AA71CFA8858
0DE7E3A2-2EA0-F94D-B178-EDC644368366
2048E1BB-0D38-F648-8455-5EBBC6070D0A"
PRESET,,,,,,,,,,ToeKickHeight,3.5in,,,,,,,,,,
PRESET,,,,,,,,,,IconWidth,30in,,,,,,,,,,
PRESET,,,,,,,,,,IconHeight,36in,,,,,,,,,,
PRESET,,,,,,,,,,IconDepth,24in,,,,,,,,,,
PRESET,,8C73EC1C-E2F6-684D-AE87-21C9545631CB,,"Assembly_3FlexDims0Fixed_Prismic_Cabinet_Floor
Assembly_2FlexDims1Fixed_PlanarRig_CabinetFace
Property_Spatiality_Rig_SlotConfig_2FlexDims_Portal_Overlay-Property_Spatiality_Slot-Frame-Property_Spatiality_Slot-AssemblyPanelOverlay3Vertical1-Property_Spatiality_Slot-AssemblyPanelOverlay3Vertical2-Property_Spatiality_Slot-AssemblyPanelOverlay3Vertical3
Property_Spatiality_Slot-Frame
Part_2FlexDims1Fixed_Frame-Property_Spatiality_Mesh_Frame-Cabinet-Frame-Framed-01.Cabinet-Frame-Framed-01'-Finish1-0RawMaterial-Plywood-0RawMaterial-Paint-F3F1ED-88DBB205-F808-EB45-8D66-7BAAD30607DB
Property_Spatiality_Slot-AssemblyPanelOverlay3Vertical1
Assembly_2FlexDims1Fixed_PlanarRig_Panel_Cabinet
Property_Spatiality_Rig_SlotConfig_2FlexDims_Panel_Cabinet-Property_Spatiality_Slot-Panel-Property_Spatiality_Slot-RollerBarnLeft-Property_Spatiality_Slot-RollerBarnRight-Property_Spatiality_Slot-HandleCenterTop-Property_Spatiality_Slot-HandleCenterMidHeight-Property_Spatiality_Slot-HandleCenterBottom-Property_Spatiality_Slot-HandleRightTop-Property_Spatiality_Slot-HandleRightMidHeight-Property_Spatiality_Slot-HandleRightBottom-Property_Spatiality_Slot-AssemblyMuntinSet1
Property_Spatiality_Slot-Panel
Part_2FlexDims1Fixed_Panel_Cabinet-Property_Spatiality_Mesh_Panel_Cabinet-Cabinet-Panel-04.Cabinet-Panel-04'-Finish1-0RawMaterial-Plywood-0RawMaterial-Paint-F3F1ED-9E7DFD1B-0D12-DA44-8C16-D754DBFC8EFB
Property_Spatiality_Slot-HandleCenterMidHeight
Part_0FlexDims3Fixed_HandleStatic_Pull_Cabinet-Property_Spatiality_Mesh_HandleStatic_Pull_Cabinet-Cabinet-Handle-Pull-03.Cabinet-Handle-Pull-03'-Finish1-0RawMaterial-Aluminum-EBECF0-BBD8EC39-8E81-EA4E-94C3-93DC6CA82E62
778109D9-179C-2A4C-B030-D765B3A22974
FD26A637-CA07-6542-8F3D-CEB680499330",,Assembly_3FlexDims0Fixed_Prismic_Cabinet_Floor,,Three Drawers,,ToeKickDepth,4in,,Finish1,0RawMaterial-Spruce-Pine-Fir,0RawMaterial-Paint,0,F3F1ED,,X,,"Assembly_2FlexDims1Fixed_PlanarRig_CabinetFace
Property_Spatiality_Rig_SlotConfig_2FlexDims_Portal_Overlay-Property_Spatiality_Slot-Frame-Property_Spatiality_Slot-AssemblyPanelOverlay3Vertical1-Property_Spatiality_Slot-AssemblyPanelOverlay3Vertical2-Property_Spatiality_Slot-AssemblyPanelOverlay3Vertical3
Property_Spatiality_Slot-Frame
Part_2FlexDims1Fixed_Frame-Property_Spatiality_Mesh_Frame-Cabinet-Frame-Framed-01.Cabinet-Frame-Framed-01'-Finish1-0RawMaterial-Plywood-0RawMaterial-Paint-F3F1ED-88DBB205-F808-EB45-8D66-7BAAD30607DB
Property_Spatiality_Slot-AssemblyPanelOverlay3Vertical1
Assembly_2FlexDims1Fixed_PlanarRig_Panel_Cabinet
Property_Spatiality_Rig_SlotConfig_2FlexDims_Panel_Cabinet-Property_Spatiality_Slot-Panel-Property_Spatiality_Slot-RollerBarnLeft-Property_Spatiality_Slot-RollerBarnRight-Property_Spatiality_Slot-HandleCenterTop-Property_Spatiality_Slot-HandleCenterMidHeight-Property_Spatiality_Slot-HandleCenterBottom-Property_Spatiality_Slot-HandleRightTop-Property_Spatiality_Slot-HandleRightMidHeight-Property_Spatiality_Slot-HandleRightBottom-Property_Spatiality_Slot-AssemblyMuntinSet1
Property_Spatiality_Slot-Panel
Part_2FlexDims1Fixed_Panel_Cabinet-Property_Spatiality_Mesh_Panel_Cabinet-Cabinet-Panel-04.Cabinet-Panel-04'-Finish1-0RawMaterial-Plywood-0RawMaterial-Paint-F3F1ED-9E7DFD1B-0D12-DA44-8C16-D754DBFC8EFB
Property_Spatiality_Slot-HandleCenterMidHeight
Part_0FlexDims3Fixed_HandleStatic_Pull_Cabinet-Property_Spatiality_Mesh_HandleStatic_Pull_Cabinet-Cabinet-Handle-Pull-03.Cabinet-Handle-Pull-03'-Finish1-0RawMaterial-Aluminum-EBECF0-BBD8EC39-8E81-EA4E-94C3-93DC6CA82E62
778109D9-179C-2A4C-B030-D765B3A22974
FD26A637-CA07-6542-8F3D-CEB680499330"
PRESET,,,,,,,,,,ToeKickHeight,3.5in,,,,,,,,,,
PRESET,,,,,,,,,,IconWidth,30in,,,,,,,,,,
PRESET,,,,,,,,,,IconHeight,36in,,,,,,,,,,
PRESET,,,,,,,,,,IconDepth,24in,,,,,,,,,,
